time_s,cube_z_m,finger_half_gap_m,finger_z_m,contacts
3.124000000000000110e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.125000000000000000e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.125999999999999890e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.127000000000000224e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.128000000000000114e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.129000000000000004e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.129999999999999893e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.131000000000000227e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.132000000000000117e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.133000000000000007e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.133999999999999897e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.135000000000000231e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.136000000000000121e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.137000000000000011e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.137999999999999901e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.139000000000000234e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.140000000000000124e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.141000000000000014e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.141999999999999904e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.143000000000000238e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.144000000000000128e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.145000000000000018e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.145999999999999908e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.147000000000000242e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.148000000000000131e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.149000000000000021e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.149999999999999911e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.151000000000000245e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.152000000000000135e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.153000000000000025e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.153999999999999915e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.155000000000000249e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.156000000000000139e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.157000000000000028e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.157999999999999918e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.159000000000000252e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.160000000000000142e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.161000000000000032e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
