time_s,force_N,x_bottom_m,x_middle_m,x_top_m,slip_ground_bottom_m,slip_bottom_middle_m,slip_middle_top_m,contacts
7.156000000000001,8.0,0.0005201782639480703,0.011477496236550384,6.162910343908802,0.0005201782639480703,0.010957317972602314,6.151432847672251,8
7.1565,8.0,0.0005201782639481078,0.011477496240936233,6.1657487335577335,0.0005201782639481078,0.010957317976988125,6.154271237316797,8
7.157,8.0,0.0005201782639481453,0.011477496245322082,6.168589123206665,0.0005201782639481453,0.010957317981373936,6.157111626961343,8
7.1575,8.0,0.0005201782639481827,0.011477496249707932,6.171431512855596,0.0005201782639481827,0.01095731798575975,6.159954016605888,8
7.158,8.0,0.0005201782639482201,0.011477496254093781,6.174275902504528,0.0005201782639482201,0.01095731799014556,6.162798406250434,8
7.1585,8.0,0.0005201782639482575,0.01147749625847963,6.177122292153459,0.0005201782639482575,0.010957317994531373,6.16564479589498,8
7.159,8.0,0.000520178263948295,0.01147749626286548,6.1799706818023905,0.000520178263948295,0.010957317998917184,6.168493185539525,8
7.1595,8.0,0.0005201782639483325,0.011477496267251329,6.182821071451322,0.0005201782639483325,0.010957318003302996,6.17134357518407,8
7.16,8.0,0.0005201782639483699,0.011477496271637178,6.1856734611002535,0.0005201782639483699,0.010957318007688809,6.174195964828616,8
7.1605,8.0,0.0005201782639484073,0.011477496276023028,6.1885278507491845,0.0005201782639484073,0.01095731801207462,6.177050354473161,8
7.1610000000000005,8.0,0.0005201782639484449,0.011477496280408877,6.191384240398116,0.0005201782639484449,0.010957318016460433,6.179906744117707,8
7.1615,8.0,0.0005201782639484824,0.011477496284794726,6.1942426300470474,0.0005201782639484824,0.010957318020846244,6.182765133762253,8
7.162,8.0,0.0005201782639485199,0.011477496289180576,6.197103019695978,0.0005201782639485199,0.010957318025232055,6.185625523406798,8
7.1625000000000005,8.0,0.0005201782639485573,0.011477496293566425,6.19996540934491,0.0005201782639485573,0.010957318029617868,6.188487913051343,8
7.163,8.0,0.0005201782639485947,0.011477496297952274,6.202829798993841,0.0005201782639485947,0.010957318034003679,6.191352302695889,8
7.1635,8.0,0.0005201782639486322,0.011477496302338124,6.205696188642772,0.0005201782639486322,0.010957318038389492,6.194218692340434,8
7.164000000000001,8.0,0.0005201782639486697,0.011477496306723973,6.208564578291703,0.0005201782639486697,0.010957318042775303,6.1970870819849795,8
7.1645,8.0,0.0005201782639487072,0.011477496311109822,6.211434967940635,0.0005201782639487072,0.010957318047161114,6.199957471629525,8
7.165,8.0,0.0005201782639487446,0.011477496315495671,6.214307357589566,0.0005201782639487446,0.010957318051546927,6.20282986127407,8
7.1655,8.0,0.000520178263948782,0.01147749631988152,6.217181747238497,0.000520178263948782,0.010957318055932738,6.2057042509186155,8
7.166,8.0,0.0005201782639488196,0.01147749632426737,6.220058136887428,0.0005201782639488196,0.010957318060318551,6.208580640563161,8
7.1665,8.0,0.0005201782639488571,0.01147749632865322,6.22293652653636,0.0005201782639488571,0.010957318064704362,6.211459030207707,8
7.167,8.0,0.0005201782639488945,0.011477496333039069,6.225816916185291,0.0005201782639488945,0.010957318069090175,6.214339419852252,8
7.1675,8.0,0.0005201782639489319,0.011477496337424918,6.228699305834223,0.0005201782639489319,0.010957318073475986,6.217221809496798,8
7.168,8.0,0.0005201782639489693,0.011477496341810767,6.231583695483154,0.0005201782639489693,0.010957318077861797,6.220106199141344,8
7.1685,8.0,0.0005201782639490068,0.011477496346196617,6.234470085132085,0.0005201782639490068,0.01095731808224761,6.222992588785889,8
7.1690000000000005,8.0,0.0005201782639490443,0.011477496350582466,6.237358474781017,0.0005201782639490443,0.010957318086633422,6.2258809784304345,8
7.1695,8.0,0.0005201782639490818,0.011477496354968315,6.240248864429948,0.0005201782639490818,0.010957318091019234,6.22877136807498,8
7.17,8.0,0.0005201782639491192,0.011477496359354165,6.243141254078879,0.0005201782639491192,0.010957318095405046,6.2316637577195255,8
7.1705000000000005,8.0,0.0005201782639491566,0.011477496363740014,6.246035643727811,0.0005201782639491566,0.010957318099790857,6.234558147364071,8
7.171,8.0,0.0005201782639491941,0.011477496368125863,6.248932033376742,0.0005201782639491941,0.01095731810417667,6.237454537008617,8
7.1715,8.0,0.0005201782639492317,0.011477496372511713,6.251830423025673,0.0005201782639492317,0.01095731810856248,6.240352926653162,8
7.172,8.0,0.0005201782639492691,0.011477496376897562,6.254730812674604,0.0005201782639492691,0.010957318112948294,6.243253316297706,8
7.1725,8.0,0.0005201782639493065,0.011477496381283411,6.257633202323536,0.0005201782639493065,0.010957318117334105,6.246155705942252,8
7.173,8.0,0.0005201782639493439,0.01147749638566926,6.260537591972467,0.0005201782639493439,0.010957318121719916,6.249060095586797,8
7.1735,8.0,0.0005201782639493814,0.01147749639005511,6.263443981621398,0.0005201782639493814,0.010957318126105729,6.251966485231343,8
7.174,8.0,0.0005201782639494189,0.01147749639444096,6.2663523712703295,0.0005201782639494189,0.01095731813049154,6.254874874875888,8
7.1745,8.0,0.0005201782639494563,0.011477496398826809,6.26926276091926,0.0005201782639494563,0.010957318134877353,6.257785264520433,8
7.175,8.0,0.0005201782639494937,0.011477496403212658,6.2721751505681915,0.0005201782639494937,0.010957318139263164,6.260697654164979,8
7.1755,8.0,0.0005201782639495311,0.011477496407598507,6.275089540217123,0.0005201782639495311,0.010957318143648975,6.263612043809524,8
7.176,8.0,0.0005201782639495686,0.011477496411984357,6.278005929866055,0.0005201782639495686,0.010957318148034788,6.26652843345407,8
7.1765,8.0,0.0005201782639496061,0.011477496416370206,6.280924319514986,0.0005201782639496061,0.0109573181524206,6.269446823098615,8
7.1770000000000005,8.0,0.0005201782639496435,0.011477496420756055,6.283844709163917,0.0005201782639496435,0.010957318156806412,6.272367212743161,8
7.1775,8.0,0.000520178263949681,0.011477496425141905,6.286767098812849,0.000520178263949681,0.010957318161192223,6.275289602387707,8
7.178,8.0,0.0005201782639497184,0.011477496429527754,6.28969148846178,0.0005201782639497184,0.010957318165578036,6.278213992032252,8
7.1785000000000005,8.0,0.0005201782639497559,0.011477496433913603,6.292617878110711,0.0005201782639497559,0.010957318169963847,6.2811403816767974,8
7.179,8.0,0.0005201782639497934,0.011477496438299453,6.295546267759643,0.0005201782639497934,0.010957318174349659,6.284068771321343,8
7.1795,8.0,0.0005201782639498308,0.011477496442685302,6.298476657408574,0.0005201782639498308,0.010957318178735471,6.286999160965888,8
7.18,8.0,0.0005201782639498682,0.011477496447071151,6.301409047057505,0.0005201782639498682,0.010957318183121283,6.289931550610434,8
7.1805,8.0,0.0005201782639499057,0.011477496451457,6.304343436706437,0.0005201782639499057,0.010957318187507096,6.29286594025498,8
7.181,8.0,0.0005201782639499432,0.01147749645584285,6.3072798263553675,0.0005201782639499432,0.010957318191892907,6.295802329899525,8
7.1815,8.0,0.0005201782639499807,0.011477496460228699,6.310218216004299,0.0005201782639499807,0.010957318196278718,6.29874071954407,8
7.182,8.0,0.0005201782639500181,0.011477496464614548,6.31315860565323,0.0005201782639500181,0.01095731820066453,6.301681109188616,8
7.1825,8.0,0.0005201782639500555,0.011477496469000398,6.316100995302161,0.0005201782639500555,0.010957318205050342,6.304623498833161,8
7.183,8.0,0.0005201782639500931,0.011477496473386247,6.319045384951092,0.0005201782639500931,0.010957318209436155,6.307567888477706,8
7.1835,8.0,0.0005201782639501306,0.011477496477772096,6.321991774600024,0.0005201782639501306,0.010957318213821966,6.310514278122252,8
7.184,8.0,0.0005201782639501681,0.011477496482157946,6.324940164248955,0.0005201782639501681,0.010957318218207777,6.313462667766797,8
7.1845,8.0,0.0005201782639502055,0.011477496486543795,6.327890553897886,0.0005201782639502055,0.01095731822259359,6.316413057411342,8
7.1850000000000005,8.0,0.0005201782639502429,0.011477496490929644,6.330842943546817,0.0005201782639502429,0.010957318226979401,6.319365447055888,8
7.1855,8.0,0.0005201782639502804,0.011477496495315494,6.333797333195749,0.0005201782639502804,0.010957318231365214,6.322319836700434,8
7.186,8.0,0.0005201782639503179,0.011477496499701343,6.33675372284468,0.0005201782639503179,0.010957318235751025,6.325276226344979,8
7.1865000000000006,8.0,0.0005201782639503554,0.011477496504087192,6.339712112493611,0.0005201782639503554,0.010957318240136836,6.328234615989524,8
7.187,8.0,0.0005201782639503928,0.011477496508473042,6.342672502142543,0.0005201782639503928,0.01095731824452265,6.33119500563407,8
7.1875,8.0,0.0005201782639504302,0.011477496512858891,6.345634891791474,0.0005201782639504302,0.01095731824890846,6.334157395278615,8
