time_s,x_m,y_m,z_m
7.049999999999999600e-01,-2.304365485906600952e-02,-3.045730292797088623e-03,4.997249692678451538e-02
7.099999999999999645e-01,-2.304356545209884644e-02,-3.046096535399556160e-03,4.997248202562332153e-02
7.149999999999999689e-01,-2.304346300661563873e-02,-3.046762663871049881e-03,4.997243732213973999e-02
7.199999999999999734e-01,-2.304343506693840027e-02,-3.047134960070252419e-03,4.997237771749496460e-02
7.249999999999999778e-01,-2.304339967668056488e-02,-3.047363134101033211e-03,4.997234046459197998e-02
7.299999999999999822e-01,-2.304339595139026642e-02,-3.047517035156488419e-03,4.997235164046287537e-02
7.349999999999999867e-01,-2.304334565997123718e-02,-3.047755919396877289e-03,4.997237399220466614e-02
7.399999999999999911e-01,-2.304332144558429718e-02,-3.048127284273505211e-03,4.997238889336585999e-02
7.449999999999999956e-01,-2.304333820939064026e-02,-3.048334736377000809e-03,4.997242614626884460e-02
7.500000000000000000e-01,-2.304327674210071564e-02,-3.048500046133995056e-03,4.997234791517257690e-02
7.550000000000000044e-01,-2.304332517087459564e-02,-3.048310289159417152e-03,4.997234418988227844e-02
7.600000000000000089e-01,-2.304333075881004333e-02,-3.048206213861703873e-03,4.997241497039794922e-02
7.650000000000000133e-01,-2.304328978061676025e-02,-3.048166865482926369e-03,4.997226223349571228e-02
7.700000000000000178e-01,-2.304331772029399872e-02,-3.047996433451771736e-03,4.997223243117332458e-02
7.750000000000000222e-01,-2.304334193468093872e-02,-3.047728445380926132e-03,4.997234046459197998e-02
7.800000000000000266e-01,-2.304336428642272949e-02,-3.047671169042587280e-03,4.997234791517257690e-02
7.850000000000000311e-01,-2.304337918758392334e-02,-3.047577803954482079e-03,4.997230321168899536e-02
7.900000000000000355e-01,-2.304344624280929565e-02,-3.047322621569037437e-03,4.997241497039794922e-02
7.950000000000000400e-01,-2.304342202842235565e-02,-3.047254867851734161e-03,4.997237026691436768e-02
8.000000000000000444e-01,-2.304345555603504181e-02,-3.047287231311202049e-03,4.997242614626884460e-02
8.050000000000000488e-01,-2.304343134164810181e-02,-3.047144273295998573e-03,4.997230693697929382e-02
8.100000000000000533e-01,-2.304345928132534027e-02,-3.047076519578695297e-03,4.997231438755989075e-02
8.150000000000000577e-01,-2.304342202842235565e-02,-3.046971512958407402e-03,4.997222870588302612e-02
8.200000000000000622e-01,-2.304346300661563873e-02,-3.046911908313632011e-03,4.997229948639869690e-02
8.250000000000000666e-01,-2.304345928132534027e-02,-3.046942874789237976e-03,4.997232928872108459e-02
