time_s,x_m,y_m,z_m
7.449999999999999956e-01,3.508519057504599914e-06,2.660621021277620457e-06,3.699861839413642883e-02
7.500000000000000000e-01,3.516511469570104964e-06,2.664582098077517003e-06,3.699862584471702576e-02
7.550000000000000044e-01,3.512852117637521587e-06,2.660750851646298543e-06,3.699862211942672729e-02
7.600000000000000089e-01,3.515259550113114528e-06,2.659700157892075367e-06,3.699862211942672729e-02
7.650000000000000133e-01,3.504411324684042484e-06,2.669898321983055212e-06,3.699861094355583191e-02
7.700000000000000178e-01,3.523766508806147613e-06,2.666184400368365459e-06,3.699861094355583191e-02
7.750000000000000222e-01,3.510224814817775041e-06,2.665164629434002563e-06,3.699861094355583191e-02
7.800000000000000266e-01,3.516832066452479921e-06,2.666334694367833436e-06,3.699860721826553345e-02
7.850000000000000311e-01,3.526215323290671222e-06,2.670146841410314664e-06,3.699861094355583191e-02
7.900000000000000355e-01,3.505568429318373092e-06,2.671744141480303369e-06,3.699861466884613037e-02
7.950000000000000400e-01,3.514946456562029198e-06,2.661239705048501492e-06,3.699862211942672729e-02
8.000000000000000444e-01,3.508178906486136839e-06,2.678102191566722468e-06,3.699861839413642883e-02
8.050000000000000488e-01,3.501326546029304154e-06,2.677822976693278179e-06,3.699861839413642883e-02
8.100000000000000533e-01,3.511612248985329643e-06,2.663372924871509895e-06,3.699862211942672729e-02
8.150000000000000577e-01,3.504073674776009284e-06,2.661365897438372485e-06,3.699862211942672729e-02
8.200000000000000622e-01,3.515434400469530374e-06,2.666601858436479233e-06,3.699862957000732422e-02
8.250000000000000666e-01,3.515769549267133698e-06,2.656518063304247335e-06,3.699862957000732422e-02
8.300000000000000711e-01,3.516877086440217681e-06,2.666488853719783947e-06,3.699861466884613037e-02
8.349999999999999645e-01,3.516273636705591343e-06,2.660654445207910612e-06,3.699861094355583191e-02
8.399999999999999689e-01,3.517774302963516675e-06,2.665628471731906757e-06,3.699861466884613037e-02
8.449999999999999734e-01,3.523907480484922417e-06,2.662060069269500673e-06,3.699861839413642883e-02
8.499999999999999778e-01,3.506670509523246437e-06,2.674535380720044486e-06,3.699861466884613037e-02
8.549999999999999822e-01,3.517775894579244778e-06,2.662314955159672536e-06,3.699861839413642883e-02
8.599999999999999867e-01,3.505308541207341477e-06,2.667326953087467700e-06,3.699861466884613037e-02
8.649999999999999911e-01,3.518255880408105440e-06,2.665786496436339803e-06,3.699861839413642883e-02
8.699999999999999956e-01,3.523508439684519544e-06,2.669105697350460105e-06,3.699861839413642883e-02
8.750000000000000000e-01,3.529635478116688319e-06,2.679720637388527393e-06,3.699862211942672729e-02
8.800000000000000044e-01,3.516506012601894327e-06,2.668468823685543612e-06,3.699862584471702576e-02
8.850000000000000089e-01,3.509101134113734588e-06,2.670464027687557973e-06,3.699863329529762268e-02
8.900000000000000133e-01,3.516299102557240985e-06,2.681272917470778339e-06,3.699862584471702576e-02
8.950000000000000178e-01,3.517804543662350625e-06,2.674153165571624413e-06,3.699862584471702576e-02
9.000000000000000222e-01,3.522258793964283541e-06,2.669496325324871577e-06,3.699861466884613037e-02
9.050000000000000266e-01,3.524035719237872399e-06,2.672296204764279537e-06,3.699861094355583191e-02
9.100000000000000311e-01,3.512238663461175747e-06,2.659129222593037412e-06,3.699861466884613037e-02
9.150000000000000355e-01,3.502483878037310205e-06,2.652071088959928602e-06,3.699860721826553345e-02
9.200000000000000400e-01,3.516638571454677731e-06,2.680566240087500773e-06,3.699860349297523499e-02
9.250000000000000444e-01,3.520483915053773671e-06,2.668049546628026292e-06,3.699860721826553345e-02
9.300000000000000488e-01,3.501485934975789860e-06,2.679649242054438218e-06,3.699861094355583191e-02
9.350000000000000533e-01,3.515283651722711511e-06,2.656910510268062353e-06,3.699861466884613037e-02
9.400000000000000577e-01,3.513686579026398249e-06,2.665354713826673105e-06,3.699862584471702576e-02
9.450000000000000622e-01,3.501743321976391599e-06,2.667188027771771885e-06,3.699861839413642883e-02
9.500000000000000666e-01,3.522996166793745942e-06,2.669748710104613565e-06,3.699862211942672729e-02
9.550000000000000711e-01,3.513077672323561274e-06,2.657392087712651119e-06,3.699862584471702576e-02
9.599999999999999645e-01,3.511336444717017002e-06,2.665083457031869330e-06,3.699863329529762268e-02
9.649999999999999689e-01,3.512580633469042368e-06,2.666637328729848377e-06,3.699862957000732422e-02
9.699999999999999734e-01,3.522470706229796633e-06,2.660097834450425580e-06,3.699863329529762268e-02
9.749999999999999778e-01,3.509999714879086241e-06,2.654827994774677791e-06,3.699863329529762268e-02
