time_s,box_vx,box_vy,box_vz,ball_vx,ball_vy,ball_vz
3.256999999999752315e+00,1.213757144227268769e+00,2.105921423138851445e+00,4.617583752511818934e-02,3.343796358371300403e-01,5.783127968635998206e-01,-2.048880377711231188e-02
3.257999999999752205e+00,1.213220412128480419e+00,2.102164347238361319e+00,4.226658396197833373e-02,3.343796358371300403e-01,5.783127968635998206e-01,-3.029880377711231115e-02
3.258999999999752095e+00,1.214408103377470072e+00,2.106713006243850828e+00,3.823398311827227308e-02,3.343796358371300403e-01,5.783127968635998206e-01,-4.010880377711231043e-02
3.259999999999751985e+00,1.215556812038770529e+00,2.111290533552728110e+00,3.200475507394242441e-02,3.343796358371300403e-01,5.783127968635998206e-01,-4.991880377711230971e-02
3.260999999999751875e+00,1.217170959525273100e+00,2.116286817454443359e+00,2.550328017660408522e-02,3.343796358371300403e-01,5.783127968635998206e-01,-5.972880377711230898e-02
3.261999999999751765e+00,1.222161085000612823e+00,2.125188866230394602e+00,9.659535385973644014e-03,3.343796358371300403e-01,5.783127968635998206e-01,-6.953880377711230132e-02
3.262999999999751655e+00,1.227279169540727910e+00,2.134276964810061017e+00,-5.884167339734984979e-03,3.343796358371300403e-01,5.783127968635998206e-01,-7.934880377711230059e-02
3.263999999999751545e+00,1.232499691610623005e+00,2.143513158816040320e+00,-2.120017536034009970e-02,3.343796358371300403e-01,5.783127968635998206e-01,-8.915880377711229987e-02
3.264999999999751434e+00,1.235601621979501852e+00,2.144895321001169641e+00,-3.065659967194650851e-02,3.343796358371300403e-01,5.783127968635998206e-01,-9.896880377711229915e-02
3.265999999999751324e+00,1.238948908680985062e+00,2.147039798627486284e+00,-4.027275889307238566e-02,3.343796358371300403e-01,5.783127968635998206e-01,-1.087788037771122984e-01
3.266999999999751214e+00,1.242471834236551720e+00,2.150066388244635807e+00,-4.960648128965709780e-02,3.343796358371300403e-01,5.783127968635998206e-01,-1.185888037771122977e-01
3.267999999999751104e+00,1.241493167237790907e+00,2.150028588102827154e+00,-6.069216587603638857e-02,3.343796358371300403e-01,5.783127968635998206e-01,-1.283988037771122970e-01
3.268999999999750994e+00,1.236397080859804154e+00,2.146974523493115239e+00,-5.909915548934432244e-02,3.392002401040988269e-01,5.788206661798191988e-01,-7.262527618943215302e-02
3.269999999999750884e+00,1.236420450098820289e+00,2.146829295382842062e+00,-4.580792313259561543e-02,3.392002401040988269e-01,5.788206661798191988e-01,-8.243527618943215229e-02
3.270999999999750774e+00,1.237102478171758113e+00,2.147717857269034525e+00,-3.398569635635003555e-02,3.392002401040988269e-01,5.788206661798191988e-01,-9.224527618943215157e-02
3.271999999999750663e+00,1.210843323546115791e+00,2.101585068679545643e+00,4.612392093359012762e-02,3.330036921137720096e-01,5.699205164482749053e-01,-1.651679257064998449e-02
3.272999999999750553e+00,1.185865170597030893e+00,2.057882260336477032e+00,1.163784833318941420e-01,3.271547585986228635e-01,5.611499722863446671e-01,5.112966233280379080e-02
3.273999999999750443e+00,1.189796825089168841e+00,2.060571221514598150e+00,1.057246497510029998e-01,3.262495997478793708e-01,5.651300040198667940e-01,4.642181529760311398e-02
3.274999999999750333e+00,1.195572786664862885e+00,2.070512558679740600e+00,8.997445469724461853e-02,3.272987599129216774e-01,5.672707952550746224e-01,3.959193393713313081e-02
3.275999999999750223e+00,1.201326433510318203e+00,2.080419355983982754e+00,7.391786067659776582e-02,3.282610089376906681e-01,5.692076214236658771e-01,3.248536557571391620e-02
3.276999999999750113e+00,1.207072946030437910e+00,2.090171610804484104e+00,5.805631268605217221e-02,3.291270668756532403e-01,5.708930197290865705e-01,2.504407237038373119e-02
3.277999999999750003e+00,1.212829539287148206e+00,2.099963862733592812e+00,4.252525497382692032e-02,3.299588093658178956e-01,5.724954710798634272e-01,1.749099547362049922e-02
3.278999999999749893e+00,1.211701484420449892e+00,2.100057824861130573e+00,2.760857448962619753e-02,3.328482323203977300e-01,5.754233427411360458e-01,6.305570609217274469e-02
3.279999999999749782e+00,1.217491851338491360e+00,2.109963168369361153e+00,1.267723526786776814e-02,3.336701376552070886e-01,5.769837886619925138e-01,5.545041970246626650e-02
3.280999999999749672e+00,1.223293997237190567e+00,2.119908721193116019e+00,-2.020178241138105221e-03,3.344557161822612201e-01,5.784659479903884183e-01,4.773738506870995463e-02
3.281999999999749562e+00,1.229148721915272136e+00,2.129950601798585197e+00,-1.643017566547579772e-02,3.352456037597982830e-01,5.799408275057532647e-01,4.001884807145971584e-02
3.282999999999749452e+00,1.235035704642804433e+00,2.140054759737036960e+00,-3.061038039342121528e-02,3.360220911012358758e-01,5.813806553650207043e-01,3.225378250040784878e-02
3.283999999999749342e+00,1.240938229352326116e+00,2.150199121750737241e+00,-4.460179792061428478e-02,3.367695967567628235e-01,5.827593091005839332e-01,2.440421621891316131e-02
3.284999999999749232e+00,1.246893908391788264e+00,2.160452074769269704e+00,-5.834670947140665337e-02,3.367695967567628235e-01,5.827593091005839332e-01,1.459421621891316030e-02
3.285999999999749122e+00,1.247270804203207017e+00,2.162325176499259261e+00,-6.721689624380601524e-02,3.367695967567628235e-01,5.827593091005839332e-01,4.784216218913161026e-03
3.286999999999749011e+00,1.248121044170179772e+00,2.164914579749170009e+00,-7.623199288115432848e-02,3.367695967567628235e-01,5.827593091005839332e-01,-5.025783781086838251e-03
3.287999999999748901e+00,1.251489645016752306e+00,2.167822552312991924e+00,-8.163843613596288851e-02,3.367695967567628235e-01,5.827593091005839332e-01,-1.483578378108683926e-02
3.288999999999748791e+00,1.252038916568275484e+00,2.167700878793501484e+00,-7.300060914802530831e-02,3.367695967567628235e-01,5.827593091005839332e-01,-2.464578378108683854e-02
3.289999999999748681e+00,1.252029020225435829e+00,2.167725349457690687e+00,-6.019363251946290017e-02,3.367695967567628235e-01,5.827593091005839332e-01,-3.445578378108683781e-02
3.290999999999748571e+00,1.252595270966339713e+00,2.168734597608054759e+00,-4.947250955804423367e-02,3.367695967567628235e-01,5.827593091005839332e-01,-4.426578378108683709e-02
3.291999999999748461e+00,1.228270203207971090e+00,2.127055213427738511e+00,2.977183229771986073e-02,3.367695967567628235e-01,5.827593091005839332e-01,-5.407578378108683637e-02
3.292999999999748351e+00,1.206429870175794727e+00,2.089635193905555521e+00,1.012797725823386397e-01,3.367695967567628235e-01,5.827593091005839332e-01,-6.388578378108683564e-02
3.293999999999748240e+00,1.203921716495303107e+00,2.089103809620702634e+00,1.005959318660635121e-01,3.406930922473014323e-01,5.818733624826073481e-01,-8.339509756702190649e-03
3.294999999999748130e+00,1.204255832374961699e+00,2.091403472083797954e+00,9.022506100203331325e-02,3.429060420810090548e-01,5.837603983828194565e-01,4.290238852685897275e-02
3.295999999999748020e+00,1.210132096389485490e+00,2.101734359349318737e+00,7.535972468997087503e-02,3.445740991136062026e-01,5.869094248329607133e-01,3.754685077899610340e-02
3.296999999999747910e+00,1.213926939484410550e+00,2.104704533534687894e+00,6.613266224736086274e-02,3.426035949951637405e-01,5.911417689853620816e-01,3.357280308610205433e-02
3.297999999999747800e+00,1.217902485124595202e+00,2.107937219278939622e+00,5.632734935904971929e-02,3.410273533777237187e-01,5.948607591271621864e-01,2.881204211298432974e-02
3.298999999999747690e+00,1.223656739039436836e+00,2.118017578315857463e+00,4.150588485794184240e-02,3.420688438692398581e-01,5.970783182155914304e-01,2.206445138731291666e-02
3.299999999999747580e+00,1.229144287602786711e+00,2.127566947944373954e+00,2.620970071424168560e-02,3.427929777321675475e-01,5.986268484687266023e-01,1.439125882666667487e-02
3.300999999999747470e+00,1.234568954597060841e+00,2.136961629560617304e+00,1.094011866713316163e-02,3.433927546708696599e-01,5.998793057428235542e-01,6.317040624553958358e-03
3.301999999999747359e+00,1.240046529070468306e+00,2.146443469261377857e+00,-4.054284045938350359e-03,3.439821661679525744e-01,6.010960026350211649e-01,-1.803080954203879196e-03
3.302999999999747249e+00,1.245441696829029832e+00,2.155766219949742712e+00,-1.918871197290693276e-02,3.444809842400332611e-01,6.020766064509177617e-01,-1.023790155356016016e-02
3.303999999999747139e+00,1.250913021011364590e+00,2.165221124516833129e+00,-3.411052127539258849e-02,3.449689378887925151e-01,6.030270520169671578e-01,-1.871247272593296387e-02
3.304999999999747029e+00,1.256495469703941215e+00,2.174861022579689607e+00,-4.875913830040116276e-02,3.454684937980945780e-01,6.039884293210032729e-01,-2.716825010258573994e-02
3.305999999999746919e+00,1.262151163530365494e+00,2.184629206562118675e+00,-6.322065572680445056e-02,3.459593508057356437e-01,6.049261317795054937e-01,-3.565529400103291391e-02
3.306999999999746809e+00,1.267875482781537055e+00,2.194517773545187289e+00,-7.750698253263868520e-02,3.464412941698283843e-01,6.058408223415154836e-01,-4.417298241296682693e-02
3.307999999999746699e+00,1.269033078745093857e+00,2.199010417525777861e+00,-7.877950860247086295e-02,3.475951890440977521e-01,6.059285188918699383e-01,-5.253644971642326689e-02
3.308999999999746588e+00,1.269428418706866735e+00,2.199817110254927321e+00,-6.778920519522264876e-02,3.475951890440977521e-01,6.059285188918699383e-01,-6.234644971642326616e-02
3.309999999999746478e+00,1.275454559879795502e+00,2.210358923490999494e+00,-8.118256232423662344e-02,3.476319789893756451e-01,6.059823969374360519e-01,-7.207489897311994409e-02
3.310999999999746368e+00,1.271208967592372119e+00,2.199166343625977849e+00,-7.955535370547975327e-02,3.464501484241918616e-01,6.083720325186205979e-01,-1.107671357512595052e-02
3.311999999999746258e+00,1.267833684306433728e+00,2.189805215091506163e+00,-7.902036914723645222e-02,3.454809990719533985e-01,6.107422329268841210e-01,4.435979209815946872e-02
3.312999999999746148e+00,1.241965898695956527e+00,2.145556062311363643e+00,9.470744631920354276e-03,3.454809990719533985e-01,6.107422329268841210e-01,3.454979209815946944e-02
3.313999999999746038e+00,1.219391184325253841e+00,2.106917685675709251e+00,8.971470213408969108e-02,3.454809990719533985e-01,6.107422329268841210e-01,2.473979209815947017e-02
3.314999999999745928e+00,1.197588613435216942e+00,2.069652810406788834e+00,1.597409434015799878e-01,3.397299748450178791e-01,5.995731434988041952e-01,9.166053766011618420e-02
3.315999999999745818e+00,1.201457933985953908e+00,2.076333195317994207e+00,1.577191636410137099e-01,3.397299748450178791e-01,5.995731434988041952e-01,8.185053766011618492e-02
3.316999999999745707e+00,1.207521350059299170e+00,2.087038555781437044e+00,1.408404343108142498e-01,3.402044086656072497e-01,6.002710023753948798e-01,7.309534789529334442e-02
3.317999999999745597e+00,1.213323049795317576e+00,2.097302498300701146e+00,1.226839227037271607e-01,3.402341179868776933e-01,6.003165158692350678e-01,6.335328732714970434e-02
3.318999999999745487e+00,1.218974487786572025e+00,2.107291287197603502e+00,1.042176283512464274e-01,3.402839386513982212e-01,6.003940066286128641e-01,5.365844303885079075e-02
3.319999999999745377e+00,1.224471018895352925e+00,2.117037798848767416e+00,8.587995595739303378e-02,3.403212419662947630e-01,6.004543999299121193e-01,4.393717518956920948e-02
3.320999999999745267e+00,1.229906461242395332e+00,2.126548658385410295e+00,6.791874426011845767e-02,3.403212419662947630e-01,6.004543999299121193e-01,3.412717518956921020e-02
3.321999999999745157e+00,1.235263687232913909e+00,2.135839567819572071e+00,5.029153928613868535e-02,3.403212419662947630e-01,6.004543999299121193e-01,2.431717518956920746e-02
3.322999999999745047e+00,1.240633814015664305e+00,2.145149549634493003e+00,3.320661064755564551e-02,3.403212419662947630e-01,6.004543999299121193e-01,1.450717518956920644e-02
3.323999999999744936e+00,1.246015500182680702e+00,2.154475912793307746e+00,1.663533353560312997e-02,3.403446596530856905e-01,6.004913677016309181e-01,4.751878896648418886e-03
3.324999999999744826e+00,1.251407570577521833e+00,2.163816535761269755e+00,5.451430635000016926e-04,3.404133432280249116e-01,6.006007273691722492e-01,-4.896686730688604161e-03
3.325999999999744716e+00,1.256819369699038180e+00,2.173186906186116651e+00,-1.511998982046261313e-02,3.405155621477063965e-01,6.007645996387321885e-01,-1.446524393708850491e-02
3.326999999999744606e+00,1.262265531937415641e+00,2.182612778125101904e+00,-3.042051265768068100e-02,3.406457869670249106e-01,6.009746326610554412e-01,-2.396630540942271126e-02
3.327999999999744496e+00,1.267788418573529530e+00,2.192167501865052159e+00,-4.536250605545929376e-02,3.408136137228489071e-01,6.012482047213787428e-01,-3.337507793161968023e-02
3.328999999999744386e+00,1.266909280103728275e+00,2.192539180630938667e+00,-5.839225826802690172e-02,3.408136137228489071e-01,6.012482047213787428e-01,-4.318507793161967950e-02
3.329999999999744276e+00,1.266815705694971372e+00,2.194016430142703644e+00,-7.086319755801236131e-02,3.408136137228489071e-01,6.012482047213787428e-01,-5.299507793161967878e-02
