time_s,mechanical_energy_J,energy_error_J,ball_0_height_m
1.176500000000000057e+01,1.554088468933105651e+04,-8.493615310668947131e+03,3.132454872131347656e+00
1.176600000000000001e+01,1.554086060638427807e+04,-8.493639393615725567e+03,3.131040334701538086e+00
1.176699999999999946e+01,1.554083865203857567e+04,-8.493661347961427964e+03,3.129616022109985352e+00
1.176800000000000068e+01,1.554081456451416125e+04,-8.493685435485842390e+03,3.128181695938110352e+00
1.176900000000000013e+01,1.554078968811035338e+04,-8.493710311889650256e+03,3.126737594604492188e+00
1.176999999999999957e+01,1.554076701660156323e+04,-8.493732983398440410e+03,3.125283718109130859e+00
1.177100000000000080e+01,1.554074213562011937e+04,-8.493757864379884268e+03,3.123820066452026367e+00
1.177200000000000024e+01,1.554071800079345849e+04,-8.493781999206545152e+03,3.122346639633178711e+00
1.177299999999999969e+01,1.554069465026855687e+04,-8.493805349731446768e+03,3.120863437652587891e+00
1.177400000000000091e+01,1.554067196960449292e+04,-8.493828030395510723e+03,3.119370460510253906e+00
1.177500000000000036e+01,1.554064861450195531e+04,-8.493851385498048330e+03,3.117867469787597656e+00
1.177599999999999980e+01,1.554062301177978588e+04,-8.493876988220217754e+03,3.116354703903198242e+00
1.177700000000000102e+01,1.554060118713379052e+04,-8.493898812866213120e+03,3.114832162857055664e+00
1.177800000000000047e+01,1.554057703857421984e+04,-8.493922961425783797e+03,3.113299846649169922e+00
1.177899999999999991e+01,1.554055217742920104e+04,-8.493947822570802600e+03,3.111757755279541016e+00
1.177999999999999936e+01,1.554052955932617260e+04,-8.493970440673831035e+03,3.110205888748168945e+00
1.178100000000000058e+01,1.554050622863769604e+04,-8.493993771362307598e+03,3.108644247055053711e+00
1.178200000000000003e+01,1.554048214721679869e+04,-8.494017852783204944e+03,3.107072591781616211e+00
1.178299999999999947e+01,1.554045877380371167e+04,-8.494041226196291973e+03,3.105491161346435547e+00
1.178400000000000070e+01,1.554043472595214917e+04,-8.494065274047854473e+03,3.103899955749511719e+00
1.178500000000000014e+01,1.554041134796142796e+04,-8.494088652038575674e+03,3.102298974990844727e+00
1.178599999999999959e+01,1.554038879241943505e+04,-8.494111207580568589e+03,3.100688219070434570e+00
1.178700000000000081e+01,1.554036398925781396e+04,-8.494136010742189683e+03,3.099067687988281250e+00
1.178800000000000026e+01,1.554034135284423974e+04,-8.494158647155763902e+03,3.097437381744384766e+00
1.178899999999999970e+01,1.554031662139892796e+04,-8.494183378601075674e+03,3.095797061920166016e+00
