engine,device,stack_count,dt_ms,duration_s,contact_preset,solver_iteration_budget,solver_iterations_mean,solver_iterations_max,line_search_iterations_mean,ke_N_m,tau_ms,implied_kd_Ns_m,rigid_gap_mm,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_drift_max_deg,tail_com_jitter_pp_mm,tail_orientation_jitter_pp_deg,settling_time_s,max_contacts,truncated_contacts,finite,order_preserved,toppled_or_escaped,failure,stepping_wall_s
sap_warp,cuda:0,10,0.5,3.0,drake,100,-1.0,-1,-1.0,1000.0,3.0,3.0,0.1,6.328404881060123,0.18834344241768122,0.2,11.656557582318788,0.0,0.1073930412530677,0.0,2.841,40,0,True,True,False,False,38.8896863389964
sap_warp,cuda:0,10,0.5,3.0,drake,100,-1.0,-1,-1.0,10000.0,3.0,30.0,0.1,0.7598605006933212,0.1992413530126214,0.2,0.7586469873785973,0.0,0.0,0.0,0.296,40,0,True,True,False,False,25.1252332389995
sap_warp,cuda:0,10,0.5,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.12812018394470215,0.2003291193395853,0.2,0.32911933958529316,0.0,0.0,0.0,0.075,40,0,True,True,False,False,22.43054577500152
sap_warp,cuda:0,10,0.5,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.10356307029724121,0.20041681323200464,0.2,0.41681323200462583,0.0,0.0,0.0,0.076,40,0,True,True,False,False,22.554443217995868
sap_warp,cuda:0,10,1.0,3.0,drake,100,-1.0,-1,-1.0,1000.0,3.0,3.0,0.1,6.266833283007145,0.18835169896483422,0.2,11.648301035165787,0.0,0.06948113441468395,0.0,2.708,40,0,True,True,False,False,19.56192285400175
sap_warp,cuda:0,10,1.0,3.0,drake,100,-1.0,-1,-1.0,10000.0,3.0,30.0,0.1,0.7519498467445374,0.19924138747155667,0.2,0.7586125284433365,0.0,0.0,0.0,0.295,40,0,True,True,False,False,12.627529579003749
sap_warp,cuda:0,10,1.0,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.3574788570404053,0.20032912045717238,0.2,0.3291204571723716,0.0,0.0,0.0,0.078,40,0,True,True,False,False,11.795296080999833
sap_warp,cuda:0,10,1.0,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.2578049898147583,0.20037867557257413,0.2,0.378675572574122,0.0,0.0,0.0,0.078,40,0,True,True,False,False,11.454736353000044
sap_warp,cuda:0,10,2.0,3.0,drake,100,-1.0,-1,-1.0,1000.0,3.0,3.0,0.1,6.185021251440048,0.18835970237851143,0.2,11.640297621488576,0.0,0.029190443456172943,0.0,2.364,40,0,True,True,False,False,9.78283728799579
sap_warp,cuda:0,10,2.0,3.0,drake,100,-1.0,-1,-1.0,10000.0,3.0,30.0,0.1,0.9765625,0.19924138393253088,0.2,0.7586160674691311,0.0,0.0,0.0,0.264,40,0,True,True,False,False,6.270956355001545
sap_warp,cuda:0,10,2.0,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.6089210510253906,0.20028166901320218,0.2,0.28166901320217375,0.0,0.0,0.0,0.092,40,0,True,True,False,False,5.7776213949982775
sap_warp,cuda:0,10,2.0,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.6110072135925293,0.2002870799973607,0.2,0.2870799973606897,0.0,0.0,0.0,0.092,40,0,True,True,False,False,5.73571036499925
sap_warp,cuda:0,10,5.0,3.0,drake,100,-1.0,-1,-1.0,1000.0,3.0,3.0,0.1,5.856811068952084,0.188363972119987,0.2,11.636027880013,0.0,0.002089887857437134,0.0,1.77,40,0,True,True,False,False,3.863391648999823
sap_warp,cuda:0,10,5.0,3.0,drake,100,-1.0,-1,-1.0,10000.0,3.0,30.0,0.1,5.8814287185668945,0.19924141336232423,0.2,0.7585866376757788,0.0,0.0,0.0,0.36,40,0,True,True,False,False,2.766349108002032
sap_warp,cuda:0,10,5.0,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,7.2435736656188965,0.19989050254225732,0.2,0.10949745774269104,0.0,2.980232227667301e-06,0.0,0.365,40,0,True,True,False,False,4.220286888004921
sap_warp,cuda:0,10,5.0,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,7.2435736656188965,0.19989049956202506,0.2,0.10950043797494646,0.0,2.3841857904605135e-05,0.0,0.365,40,0,True,True,False,False,4.268619262002176
