time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,relative_slip_m,orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
6.09,transfer,6.09,0.38668346,-0.00014258205,0.19528234,0.006256988737732172,0.13752660787865703,0.021400433210306827,0,0.002228060271590948,256,0,-1,62.000607567180786,8.090007879901222,0.1631033992516785,3,60.778175016607136,15.389915572131024,0.316518132699893,3
6.1000000000000005,transfer,6.1000000000000005,0.386789,0.0027026692,0.19527972,0.0062411692924797535,0.14292423070511798,0.0213997386005194,0,0.002227724762633443,256,0,-1,61.99815458102616,8.095510114309281,0.16322078796170372,3,60.77745301323227,15.384605393202277,0.3164126791775231,3
6.11,transfer,6.11,0.38687366,0.0055494015,0.19527645,0.0062287538312375546,0.14836868765073766,0.021399025749290694,0,0.002227443503215909,256,0,-1,61.99560948146906,8.101000270583313,0.16333818512189885,3,60.77593461805985,15.379306772679666,0.3163116056817831,3
6.12,transfer,6.12,0.3869374,0.008397814,0.19527256,0.006220404524356127,0.15385195099489626,0.021398314271931878,0,0.0022271096240729094,256,0,-1,61.99298340708408,8.106254315708394,0.16345104458188717,3,60.77533225491152,15.37374183078275,0.31620028349454915,3
6.13,transfer,6.13,0.38698027,0.0112475,0.19526803,0.0062157586216926575,0.15937155916293289,0.021397603871964717,0,0.0022267638705670834,256,0,-1,61.99065156352674,8.111887236028842,0.1635707770331295,3,60.77409096000024,15.368572869696798,0.3161004267388374,3
6.140000000000001,transfer,6.140000000000001,0.3870022,0.014098398,0.1952629,0.006214686669409275,0.16491956820695863,0.02139690668634821,0,0.002226444659754634,256,0,-1,61.988261131273575,8.117418555868289,0.16368862442112014,3,60.77315542425728,15.363280749432935,0.31599644288218004,3
6.15,transfer,6.15,0.3870032,0.016950289,0.19525713,0.006217260845005512,0.17049885225720926,0.021396189114248825,0,0.0022262991406023502,256,0,-1,61.98531053819012,8.122497263453763,0.1637988338069502,3,60.77231045601589,15.357562487862277,0.31588321993651514,3
6.16,transfer,6.16,0.3869833,0.019803142,0.19525075,0.006223697680979967,0.1761024200200657,0.02139546255406587,0,0.0022259927354753017,256,0,-1,61.982772254078014,8.127877390482354,0.16391404205762186,3,60.77151501995745,15.352108821886626,0.3157751788984727,3
6.17,transfer,6.17,0.38694242,0.02265674,0.19524375,0.006233699154108763,0.1817320136930554,0.021394758667016473,0,0.0022257145028561354,256,0,-1,61.980353708148954,8.13333486997246,0.1640305028806071,3,60.77069374181725,15.346780833461022,0.315669854343391,3
6.18,transfer,6.18,0.38688058,0.025510883,0.19523615,0.006247049663215876,0.18738151351028684,0.02139402207422859,0,0.0022254702635109425,256,0,-1,61.978094672724104,8.138754272707033,0.16414578238657945,3,60.770035866948625,15.34139041210656,0.3155623942220342,3
6.19,transfer,6.19,0.38679776,0.02836549,0.19522794,0.006264029070734978,0.19304921968335695,0.021393290918052837,0,0.0022252355702221394,256,0,-1,61.97513165104493,8.143945135692666,0.16425832666132292,3,60.76905595132136,15.335738933323354,0.3154512336345973,3
6.2,transfer,6.2,0.38669395,0.031220408,0.19521911,0.006284408736974001,0.19873842919680051,0.021392560177421003,0,0.002224812749773264,256,0,-1,61.9728215062525,8.149704592519228,0.16438061868171105,3,60.76782365697197,15.330671657947896,0.31535339624156894,3
6.21,transfer,6.21,0.38656914,0.03407539,0.1952097,0.006308030337095261,0.20444038724594885,0.02139182858265028,0,0.0022246649023145437,256,0,-1,61.97031739988735,8.154817092774149,0.16449038497237414,3,60.76729104392243,15.324974893682143,0.31523897623240466,3
6.22,transfer,6.22,0.38642335,0.036930438,0.19519968,0.006334877107292414,0.21015978682017544,0.021391111025818563,0,0.0022243023850023746,256,0,-1,61.96756780084323,8.160474738382248,0.16461180880555723,3,60.76616232446034,15.319780670226693,0.3151379831349821,3
6.23,transfer,6.23,0.38625655,0.039785303,0.19518909,0.006364834029227495,0.21589307848827133,0.02139037088330436,0,0.002223907969892025,256,0,-1,61.96514196062225,8.166256814927323,0.16473489280708892,3,60.7648350378844,15.314700823666062,0.3150403686218758,3
6.24,transfer,6.24,0.38606873,0.042639747,0.19517791,0.0063978019170463085,0.22163815547734092,0.021389622202855164,0,0.002223770832642913,256,0,-1,61.962564609556054,8.171335501967684,0.16484419974902628,3,60.76415067448444,15.308963992665927,0.31492590250040176,3
6.25,transfer,6.25,0.38585994,0.04549372,0.19516617,0.006433798931539059,0.22739627504367796,0.021388865150390086,0,0.0022235652431845665,256,0,-1,61.96002892564189,8.176829308456119,0.16496177959885064,3,60.763576837037334,15.303630027224017,0.3148191487366484,3
6.26,transfer,6.26,0.3856301,0.0483471,0.19515385,0.006472731474786997,0.23316344623559201,0.02138811006762527,0,0.0022231475450098515,256,0,-1,61.95760739233032,8.182594055567797,0.16508453118100702,3,60.762374449680294,15.298544075347715,0.3147207505858959,3
6.2700000000000005,transfer,6.2700000000000005,0.38537925,0.051199686,0.19514094,0.006514502223581076,0.23894106303319237,0.021387342322401606,0,0.0022228704765439034,256,0,-1,61.95504376699425,8.188037224062105,0.16520118311223309,3,60.761418464676794,15.293127328220832,0.31461426746298266,3
6.28,transfer,6.28,0.3851074,0.05405131,0.19512747,0.006558757275342941,0.24472941210652363,0.021386583488359572,0,0.002222639974206686,256,0,-1,61.95238885082713,8.193679318131315,0.16532210198263245,3,60.76051291917115,15.28791459482883,0.31451171699221264,3
6.29,transfer,6.29,0.3848145,0.056901854,0.19511345,0.006605856120586395,0.25052684571098793,0.021385820340082004,0,0.0022223067935556173,256,0,-1,61.95037846167005,8.199560440598564,0.1654461329415404,3,60.759897444626375,15.282993122130422,0.3144136545008696,3
6.3,transfer,6.3,0.3845006,0.059751112,0.19509886,0.006655281409621239,0.25633186490150867,0.02138503814030765,0,0.002222043927758932,256,0,-1,61.947373944896825,8.204956688628368,0.16556304501153687,3,60.75847191704463,15.277475091800678,0.3143075074505551,3
6.3100000000000005,transfer,6.3100000000000005,0.3841657,0.06259893,0.19508372,0.0067071313969790936,0.26214401563954387,0.0213842652663876,0,0.0022217859514057636,256,0,-1,61.9451129095198,8.210514066509738,0.16568123135279522,3,60.7577387000691,15.272213789001363,0.31420305700465434,3
6.32,transfer,6.32,0.3838098,0.065445215,0.19506803,0.006761328317224979,0.2679646687023735,0.02138347903242678,0,0.0022215493954718113,256,0,-1,61.942362403439915,8.21607389366407,0.16580078590140673,3,60.75693067367119,15.266884749887804,0.31409759719197883,3
6.33,transfer,6.33,0.3834329,0.06828984,0.1950518,0.006817735265940428,0.27379245911631045,0.02138259152540207,0,0.0022211188916116953,256,0,-1,61.939850873022046,8.221676281848122,0.16592056983440928,3,60.75560405622863,15.261596152269606,0.3139956467666993,3
6.34,transfer,6.34,0.38303497,0.07113251,0.19503501,0.006876201368868351,0.2796252803798302,0.02138181376666736,0,0.002220911905169487,256,0,-1,61.93745772218988,8.227147955001563,0.16603740808799133,3,60.75482948922606,15.25618510870994,0.3138883204218232,3
6.3500000000000005,transfer,6.3500000000000005,0.38261604,0.073973164,0.19501767,0.006936780177056789,0.28546287411675303,0.021380958548206166,0,0.002220595022663474,256,0,-1,61.935338367225384,8.233097330745924,0.16616316201282494,3,60.75411828274938,15.251332712897637,0.31379215812823597,3
6.36,transfer,6.36,0.3821761,0.07681169,0.19499977,0.0069993166252970695,0.2913082888990447,0.021380164258721485,0,0.0022203661501407623,256,0,-1,61.93222749704543,8.238363859448466,0.16627780463413594,3,60.7530710416339,15.245672267719973,0.31368110299461566,3
6.37,transfer,6.37,0.3817152,0.07964779,0.19498134,0.007063647266477346,0.29715708833202076,0.021379316886079393,0,0.0022201978135854006,256,0,-1,61.92954870368651,8.243871054793523,0.16639615553792148,3,60.752179998272524,15.240314991100018,0.31357547563588195,3
6.38,transfer,6.38,0.38123333,0.082481496,0.19496237,0.0071295518428087234,0.3030130756226899,0.02137849176481626,0,0.0022196669597178698,256,0,-1,61.9271146841483,8.249750379552383,0.16652136995299288,3,60.75063042752597,15.235252490296439,0.31347930842610194,3
6.390000000000001,transfer,6.390000000000001,0.38073048,0.08531245,0.19494286,0.007197552360594273,0.3088720188515082,0.02137768743133155,0,0.0022196604404598475,256,0,-1,61.92460846333255,8.2548052825519,0.16663014687125197,3,60.750470419642696,15.229502922653314,0.3133618311400165,3
6.4,transfer,6.4,0.3802067,0.088140644,0.19492285,0.00726690050214529,0.3147360850514445,0.021376764131368173,0,0.0022192990873008966,256,0,-1,61.92220926164754,8.260714303804649,0.16675588618171783,3,60.74944921032643,15.224515483202897,0.31326447566817966,3
6.41,transfer,6.41,0.37966198,0.090965815,0.19490229,0.007337904069572687,0.3206035506762664,0.021375950149210794,0,0.0022190099116414785,256,0,-1,61.919797542798435,8.26632757549633,0.16687569855551276,3,60.748311306515404,15.219220182631062,0.31316138373460356,3
6.42,transfer,6.42,0.37909636,0.093787916,0.19488122,0.007410285994410515,0.32647575016083846,0.02137506930432613,0,0.0022187121212482452,256,0,-1,61.91725887080167,8.271895359072053,0.1669949443404065,3,60.74750101582037,15.21392008746122,0.3130565009476498,3
6.43,transfer,6.43,0.37850982,0.09660684,0.19485962,0.0074840416200459,0.3323510426477859,0.02137427029034084,0,0.002218447858467698,256,0,-1,61.914579967933875,8.277154936624331,0.16710835599852136,3,60.74670052488989,15.208276994236016,0.31294450692027076,3
6.44,transfer,6.44,0.37790242,0.09942224,0.19483753,0.007559209130704403,0.33823073431223094,0.021373335314459816,0,0.0022181826643645763,256,0,-1,61.91220413070543,8.282924677414961,0.16723125904079697,3,60.74559079634789,15.203136778849142,0.3128444505095499,3
6.45,transfer,6.45,0.37727413,0.102234185,0.19481492,0.0076354509219527245,0.3441125624062594,0.021372498177402978,0,0.0022177889477461576,256,0,-1,61.90943409333372,8.288541281097343,0.1673521451634024,3,60.74432168041922,15.19783282773135,0.3127418416919769,3
6.46,transfer,6.46,0.37662503,0.10504224,0.19479181,0.007713102735579014,0.3499978392226416,0.021371597271593525,0,0.002217738190665841,256,0,-1,61.9069392182527,8.293902227559379,0.16746713559685236,3,60.74386813745541,15.192333674247099,0.31263101404467775,3
6.47,transfer,6.47,0.3759551,0.10784653,0.19476819,0.007791721262037754,0.35588779200645365,0.021370706833566348,0,0.002217278815805912,256,0,-1,61.9047156060721,8.299772221207013,0.16759167980881784,3,60.74267558332417,15.18725590611343,0.3125326584700778,3
6.48,transfer,6.48,0.37526438,0.1106468,0.19474408,0.00787131953984499,0.3617795940571361,0.02136979828088784,0,0.002216899301856756,256,0,-1,61.90176507225809,8.305327410003631,0.1677118455408501,3,60.741144046095954,15.181884534705489,0.3124300005607419,3
6.49,transfer,6.49,0.37455288,0.11344279,0.19471948,0.007952028885483742,0.36767451155782405,0.021368886202369708,0,0.002216861117631197,256,0,-1,61.89894989599999,8.310347649708133,0.16782085285111517,3,60.740692349843,15.176008373659148,0.3123113967455948,3
6.5,transfer,6.5,0.37382057,0.116234526,0.19469438,0.00803369376808405,0.373571164757391,0.02136805829228643,0,0.0022164524998515844,256,0,-1,61.896591417983146,8.316179402465734,0.1679450195065505,3,60.739524226506795,15.17091383652969,0.31221255907346007,3
6.51,transfer,6.51,0.3730676,0.11902172,0.19466881,0.008116195909678936,0.37947078788231153,0.021367099799738058,0,0.002216209890320897,256,0,-1,61.89472988958505,8.322049848792364,0.16806862764483735,3,60.739038373803965,15.165912172682363,0.3121121230004368,3
