time_s,force_N,x_bottom_m,x_middle_m,x_top_m,slip_ground_bottom_m,slip_bottom_middle_m,slip_middle_top_m,contacts
0.068,0.0,-8.125689e-09,1.0589952e-05,-3.4949978e-06,-8.125689e-09,1.0598077e-05,-1.408495e-05,4
0.0685,0.0,-7.1473676e-09,1.0583521e-05,-3.5382084e-06,-7.1473676e-09,1.0590668e-05,-1.4121729e-05,8
0.069,0.0,-6.0997944e-09,1.057709e-05,-3.581419e-06,-6.0997944e-09,1.058319e-05,-1.4158509e-05,4
0.0695,0.0,-1.1110717e-08,1.0582044e-05,-3.6246295e-06,-1.1110717e-08,1.0593154e-05,-1.4206673e-05,8
0.07,0.0,-1.0787967e-08,1.0586998e-05,-3.66784e-06,-1.0787967e-08,1.0597785e-05,-1.4254838e-05,4
0.07050000000000001,0.0,-9.437092e-09,1.0591952e-05,-3.7110506e-06,-9.437092e-09,1.0601389e-05,-1.4303002e-05,4
0.07100000000000001,0.0,-8.102969e-09,1.05883e-05,-3.7456552e-06,-8.102969e-09,1.0596403e-05,-1.4333955e-05,8
0.07150000000000001,0.0,-6.879466e-09,1.0584648e-05,-3.78026e-06,-6.879466e-09,1.0591528e-05,-1.4364909e-05,4
0.07200000000000001,0.0,-1.1639663e-08,1.05917325e-05,-3.8148646e-06,-1.1639663e-08,1.0603372e-05,-1.4406597e-05,8
0.0725,0.0,-1.1161244e-08,1.05988165e-05,-3.849469e-06,-1.1161244e-08,1.0609978e-05,-1.4448286e-05,4
0.073,0.0,-9.780366e-09,1.0605901e-05,-3.8840735e-06,-9.780366e-09,1.0615681e-05,-1.4489974e-05,4
0.0735,0.0,-8.333077e-09,1.0604461e-05,-3.910154e-06,-8.333077e-09,1.0612794e-05,-1.4514615e-05,8
0.074,0.0,-7.0877535e-09,1.0603021e-05,-3.936235e-06,-7.0877535e-09,1.0610109e-05,-1.4539256e-05,4
0.0745,0.0,-1.142179e-08,1.0611907e-05,-3.9623155e-06,-1.142179e-08,1.0623328e-05,-1.4574222e-05,8
0.075,0.0,-1.0968626e-08,1.0620793e-05,-3.988396e-06,-1.0968626e-08,1.0631761e-05,-1.4609189e-05,4
0.0755,0.0,-9.592639e-09,1.0629678e-05,-4.014477e-06,-9.592639e-09,1.0639271e-05,-1.4644155e-05,4
0.076,0.0,-8.253677e-09,1.0630562e-05,-4.0325563e-06,-8.253677e-09,1.0638816e-05,-1.4663119e-05,8
0.0765,0.0,-7.029238e-09,1.06314465e-05,-4.0506357e-06,-7.029238e-09,1.0638476e-05,-1.4682082e-05,4
0.077,0.0,-1.0677672e-08,1.0641565e-05,-4.068715e-06,-1.0677672e-08,1.0652242e-05,-1.471028e-05,8
0.0775,0.0,-1.0092398e-08,1.0651683e-05,-4.0867944e-06,-1.0092398e-08,1.0661775e-05,-1.4738477e-05,4
0.078,0.0,-8.798332e-09,1.0654634e-05,-4.097707e-06,-8.798332e-09,1.06634325e-05,-1.4752341e-05,8
0.0785,0.0,-7.4751725e-09,1.0657585e-05,-4.1086196e-06,-7.4751725e-09,1.06650605e-05,-1.4766205e-05,4
0.079,0.0,-1.07780656e-08,1.0669193e-05,-4.119532e-06,-1.07780656e-08,1.0679972e-05,-1.4788726e-05,8
0.0795,0.0,-1.01261985e-08,1.0680801e-05,-4.1304447e-06,-1.01261985e-08,1.0690927e-05,-1.4811246e-05,4
0.08,0.0,-8.819315e-09,1.0692409e-05,-4.1413573e-06,-8.819315e-09,1.0701228e-05,-1.4833766e-05,4
0.0805,0.0,-7.493693e-09,1.0697545e-05,-4.1457984e-06,-7.493693e-09,1.0705038e-05,-1.4843343e-05,8
0.081,0.0,-6.3792127e-09,1.0702681e-05,-4.1502394e-06,-6.3792127e-09,1.070906e-05,-1.485292e-05,4
0.0815,0.0,-8.716858e-09,1.071434e-05,-4.1546805e-06,-8.716858e-09,1.0723056e-05,-1.486902e-05,8
0.082,0.0,-8.201095e-09,1.0725998e-05,-4.1591215e-06,-8.201095e-09,1.0734199e-05,-1.48851195e-05,4
0.0825,0.0,-7.135227e-09,1.0737657e-05,-4.1635626e-06,-7.135227e-09,1.0744792e-05,-1.4901219e-05,4
0.083,0.0,-6.070799e-09,1.0744198e-05,-4.162886e-06,-6.070799e-09,1.0750269e-05,-1.4907084e-05,8
0.0835,0.0,-5.114019e-09,1.0750739e-05,-4.1622093e-06,-5.114019e-09,1.07558535e-05,-1.4912948e-05,4
0.084,0.0,-6.758508e-09,1.0762397e-05,-4.1615326e-06,-6.758508e-09,1.0769156e-05,-1.49239295e-05,8
0.0845,0.0,-6.3238885e-09,1.0774055e-05,-4.160856e-06,-6.3238885e-09,1.0780379e-05,-1.4934911e-05,4
0.085,0.0,-5.4884333e-09,1.0781581e-05,-4.156048e-06,-5.4884333e-09,1.078707e-05,-1.4937629e-05,8
