time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_gap_m,ground_bottom_dist_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_gap_m,bottom_middle_dist_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_gap_m,middle_top_dist_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
7.458,8.0,0.0023812671450333125,3.4121962306279845e-14,9.810000000000002,6.845944744185208e-13,1.3957073892324578e-13,1.3957073892377814e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107507,-2.034793927759868e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.842308655811046,6.405255500560077,0.0,0.0,nan,nan,0,-0.02417890946684986,nan,1.2333968614516881e-15,9.870306920573978e-16,0.09270221353630387,1
7.4585,8.0,0.0023812671450333294,3.379179442474916e-14,9.810000000000002,6.60561781697486e-13,1.346711073797117e-13,1.3467110738024583e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107506,-2.0267944545831657e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.845513283561327,6.409255500560078,0.0,0.0,nan,nan,0,-0.02413501086008171,nan,1.2342850398713882e-15,9.879188704770978e-16,0.08779721353630386,1
7.4590000000000005,8.0,0.0023812671450333467,3.495170636469266e-14,9.809999999999967,2.3209768544406422e-12,4.731859030460041e-13,4.731859030465858e-13,4,-0.0002452500000000926,-0.0002452500000017059,0.05702992779107505,-2.1664553034388062e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.848719911311607,6.413255500560077,0.0,0.0,nan,nan,0,-0.02409356475331356,nan,1.2174096498970859e-15,9.905834057361981e-16,0.08289221353630385,0
7.4595,8.0,0.002381267145033364,3.459262741293003e-14,9.810000000000002,7.184152001721697e-13,1.464658919820937e-13,1.464658919826306e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107504,-2.152997745129926e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.851928539061887,6.417255500560077,0.0,0.0,nan,nan,0,-0.024054571146545408,nan,1.2182978283167859e-15,9.923597625755984e-16,0.07798721353630385,1
7.46,8.0,0.002381267145033381,3.4246362345540783e-14,9.810000000000002,6.927548647040073e-13,1.4123442705484346e-13,1.4123442705537936e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.057029927791075026,-2.1396943089695587e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.855139166812167,6.421255500560077,0.0,0.0,nan,nan,0,-0.024018030039777257,nan,1.219186006736486e-15,9.932479409952984e-16,0.07308221353630386,1
7.460500000000001,8.0,0.002381267145033398,3.391226727746993e-14,9.810000000000002,6.684070443834426e-13,1.362705493136478e-13,1.3627054931418336e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107502,-2.1264636636153802e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.858351794562447,6.425255500560077,0.0,0.0,nan,nan,0,-0.023983941433009106,nan,1.220074185156186e-15,9.959124762543987e-16,0.06817721353630386,1
7.461,8.0,0.002381267145033415,3.358982152673647e-14,9.81,6.451009190042217e-13,1.315190456685467e-13,1.315190456690837e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107501,-1.9760804674266322e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.861566422312727,6.429255500560075,0.0,0.0,nan,nan,0,-0.023952305326240955,nan,1.220074185156186e-15,9.115355263828868e-16,0.06327221353630386,1
7.4615,8.0,0.002381267145033432,3.472656203505107e-14,9.810000000000036,2.2747114305591975e-12,4.63753604599223e-13,4.637536045998015e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.057029927791075,-2.1150684387513723e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.864783050063007,6.433255500560075,0.0,0.0,nan,nan,0,-0.023923121719472803,nan,1.2378377535501885e-15,9.168645969010876e-16,0.05836721353630387,0
7.462,8.0,0.0023812671450334495,3.437583582320703e-14,9.810000000000002,7.016959174005942e-13,1.4305727164130357e-13,1.4305727164184247e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.057029927791074984,-2.1039591386772496e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.868001677813287,6.437255500560075,0.0,0.0,nan,nan,0,-0.02389639061270465,nan,1.2387259319698885e-15,9.21305488999588e-16,0.05346221353630388,1
7.4625,8.0,0.0023812671450334664,3.4037194424301996e-14,9.81,6.775181214209152e-13,1.381280573742946e-13,1.3812805737483381e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107498,-2.0928157798543424e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.871222305563567,6.441255500560074,0.0,0.0,nan,nan,0,-0.0238721120059365,nan,1.2387259319698885e-15,9.257463810980886e-16,0.04855721353630387,1
7.463,8.0,0.0023812671450334833,3.371026072472703e-14,9.81,6.540940480008249e-13,1.333525072376809e-13,1.3335250723821597e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107497,-2.0816879151232385e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.874444933313847,6.445255500560074,0.0,0.0,nan,nan,0,-0.023850285899168346,nan,1.2387259319698885e-15,9.292990947768891e-16,0.043652213536303885,1
7.4635,8.0,0.0023812671450335007,3.486112723788706e-14,9.81000000000007,2.302948265639351e-12,4.695103497735646e-13,4.695103497741454e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107496,-2.2172002273270064e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.877669561064127,6.449255500560074,0.0,0.0,nan,nan,0,-0.023830912292400194,nan,1.2733648903381933e-15,9.337399868753897e-16,0.038747213536303886,0
