solver,integrator,cone,iterations,dt_s,softness,steps_planned,steps_completed,stable,mse_velocity_error,final_box_speed_error,final_ball_speed_error,max_contacts,step_rate_hz,wall_s
cg,rk4,elliptic,100,0.001,stiff_4ms,4000,4000,True,0.0031191379115008524,0.017925528606889056,0.1729312337564938,29,714.0096623422087,5.602165083982982
cg,rk4,elliptic,100,0.002,default,2000,2000,True,0.004599298701203088,0.15265259483879584,0.026977032325219363,29,511.91278644195665,3.906915500003379
cg,rk4,elliptic,100,0.002,soft_40ms,2000,2000,True,0.0032823025048866264,0.046951143581347575,0.06108265414119574,29,472.20661692531274,4.235434083966538
cg,rk4,elliptic,100,0.002,stiff_4ms,2000,2000,True,0.0077188242044938255,0.07631074476629993,0.010199377078920184,29,729.4061852050719,2.7419564579613507
cg,rk4,elliptic,500,0.0005,default,8000,8000,True,0.0018486756825849514,0.03323175560745422,0.07123615180814212,29,152.53421791766561,52.44724829099141
cg,rk4,elliptic,500,0.0005,soft_40ms,8000,8000,True,0.002585587606094315,0.05688160492678665,0.046671759550258866,29,134.76398517876183,59.36304116703104
cg,rk4,elliptic,500,0.0005,stiff_4ms,8000,8000,True,0.001561624401306503,0.025012170863973095,0.019501306745701566,29,223.43845670476702,35.8040425000363
cg,rk4,elliptic,500,0.001,default,4000,4000,True,0.0027148042779274856,0.05156319567916066,0.03753784249120766,29,143.97827857302744,27.781968499999493
cg,rk4,elliptic,500,0.001,soft_40ms,4000,4000,True,0.0030991047717539573,0.06304061510814761,0.062180560619329264,29,126.59268965997592,31.59740116703324
cg,rk4,elliptic,500,0.001,stiff_4ms,4000,4000,True,0.003119137912798304,0.017925528631668457,0.1729312337723527,29,211.91112806542424,18.87583741598064
cg,rk4,elliptic,500,0.002,default,2000,2000,True,0.004599298704470276,0.1526525948863311,0.026977032300576326,29,131.6787557505445,15.188478874973953
cg,rk4,elliptic,500,0.002,soft_40ms,2000,2000,True,0.0032823025125062635,0.046951143734324775,0.06108265432558371,29,116.93261800554059,17.1038674589945
cg,rk4,elliptic,500,0.002,stiff_4ms,2000,2000,True,0.007718824175919092,0.07631074425993624,0.0101993787184364,29,209.83771767952067,9.531174958043266
cg,implicit,pyramidal,20,0.0005,default,8000,8000,True,35.29299104968724,13.42010838284598,0.8746906171119302,29,3124.2627667482698,2.560604083992075
cg,implicit,pyramidal,20,0.0005,soft_40ms,8000,8000,True,36.60021097916202,13.828809740361313,0.9030375042604663,29,2754.9684166382162,2.903844541986473
cg,implicit,pyramidal,20,0.0005,stiff_4ms,8000,8000,True,34.27506582001276,13.086679913421344,0.8508833827484164,29,4304.41659073315,1.8585561669897288
cg,implicit,pyramidal,20,0.001,default,4000,4000,True,35.29529936810835,13.437296852639648,0.8739859435720393,29,3230.7803996276884,1.238090957980603
cg,implicit,pyramidal,20,0.001,soft_40ms,4000,4000,True,36.69927744032976,13.840124287446596,0.9021692698802425,29,2949.5264128618,1.3561499170027673
cg,implicit,pyramidal,20,0.001,stiff_4ms,4000,4000,True,34.63231194514728,13.267639628867553,0.8501089170963719,29,4770.794154006026,0.8384348330437206
cg,implicit,pyramidal,20,0.002,default,2000,2000,True,35.1910930445725,13.311650829679364,0.8699403425265437,29,3142.151729726478,0.6365065000136383
cg,implicit,pyramidal,20,0.002,soft_40ms,2000,2000,True,35.97927483366075,13.70295729322465,0.8996470766761305,29,2978.7046847396728,0.6714327909867279
cg,implicit,pyramidal,20,0.002,stiff_4ms,2000,2000,True,35.9379040788622,13.607205049828181,0.8568937408822177,29,8738.825468151983,0.22886370797641575
cg,implicit,pyramidal,100,0.0005,default,8000,8000,True,35.262266462089094,13.423431716761275,0.8724040478975251,29,839.247804777437,9.53234545799205
