sweep_group,engine,version,dt_ms,solref_timeconst_ms,dampratio,solimp_d0,solimp_dwidth_dmax,integrator,solver,iterations_budget,solver_iterations_mean,solver_iterations_max,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_tilt_max_deg,tail_com_jitter_pp_mm,tail_tilt_jitter_pp_deg,settling_time_s,max_contacts,finite,order_preserved,escaped,failure,stepping_wall_s
primary_dt_x_solref,mujoco,3.12.0,1.0,16.0,1.0,0.95,0.99,implicitfast,Newton,100,1.0389805097451275,8,4.444225224201841,0.005773526706778643,0.006,0.2264732932213574,0.07715874421683833,3.0432288823482867e-05,0.0002260267481424161,1.998,21,True,False,False,True,0.08347783301724121
primary_dt_x_solref,mujoco,3.12.0,2.0,4.0,1.0,0.95,0.99,implicitfast,Newton,100,1.1398601398601398,8,1.0768400000000113,0.005985915449237635,0.006,0.014084550762365547,0.015033506904912643,0.0001489879137258135,0.0004676363021724663,1.998,13,True,True,False,False,0.042279916000552475
primary_dt_x_solref,mujoco,3.12.0,2.0,8.0,1.0,0.95,0.99,implicitfast,Newton,100,1.001998001998002,5,3.891861661086572,0.005943149232543484,0.006,0.05685076745651652,0.0030031765622020533,3.0265175631274954e-05,0.000535677597366404,2.0,18,True,False,False,True,0.042113417002838105
primary_dt_x_solref,mujoco,3.12.0,2.0,16.0,1.0,0.95,0.99,implicitfast,Newton,100,1.016983016983017,5,4.366957285266665,0.00577350884645307,0.006,0.22649115354693006,0.005252920191649475,0.00010426224857952582,0.0007522453486019398,2.0,21,True,False,False,True,0.041955666994908825
primary_dt_x_solref,mujoco,3.12.0,5.0,16.0,1.0,0.95,0.99,implicitfast,Newton,100,1.2793017456359101,10,4.166056540983377,0.00577030736161505,0.006,0.22969263838495002,1.773892600543467,0.0010143223344461633,0.0012258975980128765,2.0,21,True,False,False,True,0.018748374975984916
dampratio,mujoco,3.12.0,0.5,1.0,0.5,0.95,0.99,implicitfast,Newton,100,1.037490627343164,8,0.7806341949624219,0.005999764912974247,0.006,0.0002350870257532625,2.3681585341655293,0.005339139679342783,0.003392247828109577,1.9995,13,True,True,False,False,0.15715449998970143
dampratio,mujoco,3.12.0,0.5,1.0,1.0,0.95,0.99,implicitfast,Newton,100,1.1807048237940514,7,0.6524931077705447,0.005999198718118599,0.006,0.0008012818814009601,0.025421179572979537,0.0001778173238514702,2.919008657957884e-05,1.169,13,True,True,False,False,0.1685743749840185
dampratio,mujoco,3.12.0,0.5,1.0,2.0,0.95,0.99,implicitfast,Newton,100,1.2194451387153211,8,0.6497009376496773,0.005996535381733111,0.006,0.003464618266888972,0.001877263623666038,4.733421603286825e-05,3.0547530133904885e-05,0.179,13,True,True,False,False,0.17005116699147038
solimp_dmax,mujoco,3.12.0,0.5,1.0,1.0,0.9,0.9,implicitfast,Newton,100,1.1457135716070983,3,0.14489000000001448,0.005998445164297775,0.006,0.0015548357022252685,0.023123852306820337,0.00018548941465960922,6.58208012372746e-05,1.999,13,True,True,False,False,0.16864054100005887
solimp_dmax,mujoco,3.12.0,0.5,1.0,1.0,0.95,0.95,implicitfast,Newton,100,1.1984503874031491,6,0.6745965464518561,0.005999267794974061,0.006,0.0007322050259387508,0.1989100463908184,0.0010679604520932862,0.0004918102436446517,1.9635,13,True,True,False,False,0.16764441700070165
solimp_dmax,mujoco,3.12.0,0.5,1.0,1.0,0.99,0.99,implicitfast,Newton,100,0.9675081229692577,6,0.6569561270515464,0.006015690140661112,0.006,0.015690140661111726,0.046764977562828276,0.0018159535366086763,0.0029373067937466944,1.2845,13,True,True,False,False,0.16436770898872055
