time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_gap_m,ground_bottom_dist_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_gap_m,bottom_middle_dist_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_gap_m,middle_top_dist_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
2.96,1.0,2.5873972027763182e-05,2.63972325826641e-05,29.429999999718845,0.9999999967628559,0.06795786590366355,0.0821286435749491,4,-3.2790443952532278e-06,-3.844773513898142e-06,5.2491690721785096e-05,5.2871940442148516e-05,19.619937588119566,0.9999999967626919,0.10193712311992476,0.12089039019393966,4,-4.374335627409243e-06,-5.0528597103954264e-06,5.337975472953314e-05,5.286325739993837e-05,9.809926284254203,0.9999999979727519,0.2038751299442158,0.2275516663772818,4,-2.1895668113822153e-06,-2.4120501340690517e-06,-1.2828661553302007e-13,-2.435537892905756e-09,-6.091933555165229e-09,1
2.965,1.0,2.600595819067363e-05,2.639723258156888e-05,29.429999999711345,0.9999999967646532,0.06795786590380302,0.08212995565639551,4,-3.279044395898545e-06,-3.844816858986078e-06,5.275605044063492e-05,5.2871946492548565e-05,19.619937582591188,0.9999999967642826,0.1019371231488101,0.12089244598384569,4,-4.3743478055705e-06,-5.052922072694584e-06,5.364407102776731e-05,5.2863261484942e-05,9.809926277864207,0.9999999979737397,0.20387513007721753,0.22755353356575955,4,-2.1895850950831575e-06,-2.41206609087101e-06,-1.285868198388787e-13,-2.4359470562756087e-09,-6.092972957507203e-09,1
2.97,1.0,2.6137944353579724e-05,2.63972325809534e-05,29.429999999707036,0.9999999967634712,0.06795786590373264,0.08213126777960214,4,-3.279044396519576e-06,-3.844860204101769e-06,5.302041018973726e-05,5.287195254343527e-05,19.619937577066644,0.9999999967632506,0.10193712317740815,0.12089450187026426,4,-4.374359985771792e-06,-5.052984435866647e-06,5.390838734642488e-05,5.28632655697957e-05,9.809926271468393,0.9999999979731219,0.20387513021001277,0.22755540080926487,4,-2.1896033819343574e-06,-2.4120820478736513e-06,-1.2207736020089648e-13,-2.4363446084889804e-09,-6.093996277602532e-09,1
2.975,1.0,2.6269930516482696e-05,2.639723258029705e-05,29.429999999709853,0.999999996763129,0.06795786590370288,0.08213257994492688,4,-3.2790443971440764e-06,-3.844903549179296e-06,5.328476996909458e-05,5.287195859437753e-05,19.619937571546085,0.9999999967629759,0.1019371232060627,0.12089655785367298,4,-4.37437216800618e-06,-5.053046799865569e-06,5.417270368550757e-05,5.2863269654750554e-05,9.809926265075223,0.9999999979729928,0.20387513034285273,0.22755726810811677,4,-2.1896216719358153e-06,-2.4120980050492757e-06,-1.2738244990176534e-13,-2.4367544477626097e-09,-6.095041968247717e-09,1
2.98,1.0,2.6401916679382744e-05,2.6397232579814537e-05,29.429999999709118,0.9999999967625162,0.06795786590366293,0.08213389215229844,4,-3.2790443977893935e-06,-3.84494689427764e-06,5.354912977870735e-05,5.287196464570602e-05,19.6199375660225,0.9999999967624347,0.1019371232347058,0.12089861393398349,4,-4.374384352273664e-06,-5.0531091646529935e-06,5.443702004501548e-05,5.2863273740003374e-05,9.809926258682035,0.9999999979726653,0.20387513047565262,0.22755913546221118,4,-2.189639965087531e-06,-2.4121139624915355e-06,-1.2820579129682735e-13,-2.437168615129678e-09,-6.096080509056623e-09,1
2.985,1.0,2.653390284227994e-05,2.6397232579211385e-05,29.429999999709743,0.9999999967623192,0.06795786590364811,0.0821352044017703,4,-3.2790443984347106e-06,-3.844990239382923e-06,5.381348961857642e-05,5.287197069692589e-05,19.619937560501004,0.9999999967622775,0.1019371232633772,0.12090067011125896,4,-4.374396538581182e-06,-5.053171530326238e-06,5.4701336424949595e-05,5.286327782516627e-05,9.809926252286727,0.9999999979725952,0.20387513060854903,0.22756100287172154,4,-2.1896582613895044e-06,-2.412129920075615e-06,-1.2826974014304577e-13,-2.437571436017435e-09,-6.09712149502072e-09,1
2.99,1.0,2.6665889005174587e-05,2.6397232578740387e-05,29.429999999712432,0.9999999967616577,0.06795786590359694,0.08213651669325606,4,-3.2790443990800278e-06,-3.845033584491675e-06,5.407784948870268e-05,5.287197674847232e-05,19.619937554981714,0.9999999967617084,0.10193712329199514,0.12090272638539235,4,-4.37440872690098e-06,-5.053233896794976e-06,5.496565282531039e-05,5.2863281910596563e-05,9.809926245895094,0.9999999979722687,0.2038751307413168,0.22756287033637013,4,-2.189676560883369e-06,-2.412145877940247e-06,-1.2827329285672456e-13,-2.4379821492586288e-09,-6.098156765556686e-09,1
2.995,1.0,2.679787516806639e-05,2.6397232578073328e-05,29.4299999997123,0.9999999967630706,0.06795786590369327,0.08213782902701726,4,-3.2790443997079977e-06,-3.845076929638591e-06,5.434220938908616e-05,5.287198279981555e-05,19.619937549459824,0.9999999967628933,0.1019371233208054,0.12090478275672566,4,-4.374420917267752e-06,-5.053296264166872e-06,5.522996924609803e-05,5.286328599590408e-05,9.80992623950091,0.9999999979729303,0.203875130874339,0.2275647378566356,4,-2.189694863499736e-06,-2.412161835967532e-06,-1.206616037998945e-13,-2.4383681356126184e-09,-6.0991778678705e-09,1
3.0,1.0,2.6929861330955042e-05,2.6397232577574565e-05,29.429999999703824,0.9999999967621267,0.06795786590364869,0.08213914140265184,4,-3.279044400332498e-06,-3.845120274729996e-06,5.460656931972657e-05,5.2871988851458225e-05,19.61993754393047,0.9999999967620629,0.101937123349449,0.12090683922478192,4,-4.374433109625986e-06,-5.053358632282325e-06,5.5494285687311794e-05,5.2863290081331526e-05,9.809926233102962,0.9999999979724274,0.2038751310072021,0.22756660543200377,4,-2.1897131692802385e-06,-2.412177794219893e-06,-1.2593027818555565e-13,-2.4387860981660744e-09,-6.1002277391715075e-09,1
3.005,1.0,2.7061847493840928e-05,2.6397232576970315e-05,29.42999999971049,0.9999999967616788,0.06795786590360287,0.08214045382035584,4,-3.2790444009708763e-06,-3.845163619845687e-06,5.4870929280625366e-05,5.287199490305382e-05,19.61993753841336,0.9999999967616948,0.10193712337807612,0.12090889578976619,4,-4.374445304065888e-06,-5.05342100122478e-06,5.575860214895347e-05,5.2863294166772564e-05,9.809926226712133,0.9999999979722413,0.20387513113998176,0.22756847306257622,4,-2.18973147820406e-06,-2.4121937527320564e-06,-1.2834612348713996e-13,-2.439203852885781e-09,-6.101267482573995e-09,1
