time_s,box_vx,box_vy,box_vz,ball_vx,ball_vy,ball_vz
7.399999999999999634e-02,1.796656474471092224e-02,3.111899271607398987e-02,2.396222436800599098e-03,1.106078643351793289e-02,1.915788650512695312e-02,1.571885310113430023e-03
7.599999999999999811e-02,1.838089339435100555e-02,3.183662518858909607e-02,2.691344358026981354e-03,1.131575088948011398e-02,1.959950849413871765e-02,1.881450414657592773e-03
7.799999999999999989e-02,1.879636198282241821e-02,3.255623579025268555e-02,2.982654841616749763e-03,1.157143060117959976e-02,2.004236541688442230e-02,2.185530029237270355e-03
8.000000000000000167e-02,1.921293511986732483e-02,3.327776864171028137e-02,3.269939217716455460e-03,1.182779576629400253e-02,2.048638649284839630e-02,2.486401470378041267e-03
8.200000000000000344e-02,1.963060721755027771e-02,3.400119766592979431e-02,3.553596325218677521e-03,1.208482217043638229e-02,2.093159407377243042e-02,2.782740397378802299e-03
8.400000000000000522e-02,2.004940062761306763e-02,3.472656756639480591e-02,3.833289956673979759e-03,1.234253961592912674e-02,2.137798629701137543e-02,3.075099783018231392e-03
8.600000000000000699e-02,2.046925947070121765e-02,3.545378893613815308e-02,4.109297879040241241e-03,1.260092202574014664e-02,2.182552963495254517e-02,3.363850526511669159e-03
8.799999999999999489e-02,2.089021727442741394e-02,3.618291392922401428e-02,4.381421487778425217e-03,1.286000292748212814e-02,2.227424085140228271e-02,3.647809149697422981e-03
8.999999999999999667e-02,2.131227217614650726e-02,3.691392019391059875e-02,4.650129005312919617e-03,1.311971619725227356e-02,2.272413484752178192e-02,3.928226418793201447e-03
9.199999999999999845e-02,2.173530310392379761e-02,3.764664381742477417e-02,4.915018565952777863e-03,1.338006090372800827e-02,2.317503280937671661e-02,4.205733072012662888e-03
9.400000000000000022e-02,2.215929515659809113e-02,3.838102892041206360e-02,5.176265258342027664e-03,1.364099513739347458e-02,2.362696826457977295e-02,4.478868097066879272e-03
9.600000000000000200e-02,2.258437126874923706e-02,3.911727666854858398e-02,5.434350110590457916e-03,1.390258781611919403e-02,2.408006601035594940e-02,4.748681094497442245e-03
9.800000000000000377e-02,2.301042154431343079e-02,3.985522314906120300e-02,5.688748322427272797e-03,1.416478957980871201e-02,2.453420124948024750e-02,5.013989284634590149e-03
1.000000000000000056e-01,2.343749254941940308e-02,4.059493169188499451e-02,5.939668510109186172e-03,1.442762184888124466e-02,2.498941123485565186e-02,5.276669748127460480e-03
1.020000000000000073e-01,2.386550232768058777e-02,4.133626446127891541e-02,6.187215913087129593e-03,1.469103246927261353e-02,2.544564753770828247e-02,5.534272175282239914e-03
1.040000000000000091e-01,2.429447881877422333e-02,4.207926616072654724e-02,6.431449204683303833e-03,1.495503168553113937e-02,2.590291388332843781e-02,5.789297632873058319e-03
1.059999999999999970e-01,2.472439780831336975e-02,4.282390698790550232e-02,6.672311574220657349e-03,1.521962042897939682e-02,2.636120468378067017e-02,6.041141226887702942e-03
1.079999999999999988e-01,2.515524439513683319e-02,4.357015714049339294e-02,6.910000462085008621e-03,1.548478845506906509e-02,2.682046778500080109e-02,6.289667449891567230e-03
1.100000000000000006e-01,2.558701857924461365e-02,4.431801289319992065e-02,7.144533097743988037e-03,1.575052365660667419e-02,2.728072553873062134e-02,6.535144522786140442e-03
1.120000000000000023e-01,2.601969614624977112e-02,4.506742581725120544e-02,7.375977002084255219e-03,1.601680740714073181e-02,2.774191647768020630e-02,6.776595022529363632e-03
1.140000000000000041e-01,2.645329385995864868e-02,4.581845551729202271e-02,7.604341488331556320e-03,1.628368906676769257e-02,2.820412814617156982e-02,7.013136986643075943e-03
1.160000000000000059e-01,2.688771486282348633e-02,4.657089337706565857e-02,7.829650305211544037e-03,1.655104197561740875e-02,2.866723202168941498e-02,7.249223068356513977e-03
1.180000000000000077e-01,2.732303924858570099e-02,4.732489213347434998e-02,8.051849901676177979e-03,1.681895554065704346e-02,2.913127467036247253e-02,7.480521686375141144e-03
1.199999999999999956e-01,2.775918319821357727e-02,4.808032140135765076e-02,8.271237835288047791e-03,1.708738133311271667e-02,2.959621325135231018e-02,7.709009572863578796e-03
1.219999999999999973e-01,2.973229065537452698e-02,5.132613703608512878e-02,3.877574112266302109e-03,1.778542809188365936e-02,3.134407103061676025e-02,-2.457280410453677177e-03
1.239999999999999991e-01,2.908048965036869049e-02,5.042523518204689026e-02,7.216320373117923737e-03,1.787300966680049896e-02,3.101107478141784668e-02,5.532415583729743958e-03
1.260000000000000009e-01,3.450357541441917419e-02,6.256393343210220337e-02,-1.348907593637704849e-02,2.463993616402149200e-02,3.667612373828887939e-02,7.292287045856937766e-05
1.280000000000000027e-01,3.872760757803916931e-02,6.787012517452239990e-02,-2.408456243574619293e-02,2.463993616402149200e-02,3.667612373828887939e-02,-1.954707875847816467e-02
1.300000000000000044e-01,3.264991194009780884e-02,5.709780752658843994e-02,-8.361410436918959022e-05,2.002255804836750031e-02,3.511828184127807617e-02,-3.208662848919630051e-03
1.320000000000000062e-01,3.112845122814178467e-02,5.452693998813629150e-02,6.526114419102668762e-03,1.927319355309009552e-02,3.346773236989974976e-02,5.139692686498165131e-03
1.340000000000000080e-01,3.085664287209510803e-02,5.397291108965873718e-02,9.182981215417385101e-03,1.909007504582405090e-02,3.314831107854843140e-02,8.306760340929031372e-03
1.360000000000000098e-01,3.104093484580516815e-02,5.421247333288192749e-02,1.034042332321405411e-02,1.917922310531139374e-02,3.331839665770530701e-02,9.622430428862571716e-03
1.380000000000000115e-01,3.665327653288841248e-02,6.653256714344024658e-02,-1.054364349693059921e-02,2.596554346382617950e-02,3.909656777977943420e-02,2.724743448197841644e-03
1.400000000000000133e-01,3.341390565037727356e-02,5.837801843881607056e-02,5.648438353091478348e-03,2.070270478725433350e-02,3.593247011303901672e-02,5.748409312218427658e-03
1.420000000000000151e-01,4.070132225751876831e-02,7.008056342601776123e-02,-1.407232787460088730e-02,2.070270478725433350e-02,3.593247011303901672e-02,-1.387159153819084167e-02
1.440000000000000169e-01,3.479892015457153320e-02,6.076591834425926208e-02,4.750670399516820908e-03,2.129258401691913605e-02,3.742364421486854553e-02,1.564787817187607288e-03
1.459999999999999909e-01,3.376483544707298279e-02,5.905186012387275696e-02,9.712685830891132355e-03,2.086492069065570831e-02,3.628215566277503967e-02,8.316947147250175476e-03
1.479999999999999927e-01,3.909400478005409241e-02,7.108230888843536377e-02,-1.094432454556226730e-02,2.768719755113124847e-02,4.177201166749000549e-02,2.862018998712301254e-03
1.499999999999999944e-01,3.566283360123634338e-02,6.239436194300651550e-02,6.562343332916498184e-03,2.211736701428890228e-02,3.838463872671127319e-02,6.538685411214828491e-03
1.519999999999999962e-01,3.682682663202285767e-02,6.398514658212661743e-02,5.466332193464040756e-03,2.198887988924980164e-02,3.916514292359352112e-02,-2.493280451744794846e-03
1.539999999999999980e-01,3.745853900909423828e-02,6.432954221963882446e-02,4.820091649889945984e-03,2.204935066401958466e-02,4.053696990013122559e-02,2.896166173741221428e-03
1.559999999999999998e-01,3.596844896674156189e-02,6.280628591775894165e-02,1.090502645820379257e-02,2.220532111823558807e-02,3.859988227486610413e-02,9.522361680865287781e-03
1.580000000000000016e-01,4.297340661287307739e-02,7.496202737092971802e-02,-8.749281056225299835e-03,2.220532111823558807e-02,3.859988227486610413e-02,-1.009763870388269424e-02
1.600000000000000033e-01,4.561321809887886047e-02,7.677727192640304565e-02,-1.965765096247196198e-02,2.704855985939502716e-02,5.020650476217269897e-02,-4.451576154679059982e-03
1.620000000000000051e-01,3.953418135643005371e-02,6.847214698791503906e-02,4.721616860479116440e-03,2.441261708736419678e-02,4.224473237991333008e-02,4.420582670718431473e-03
1.640000000000000069e-01,3.803797066211700439e-02,6.597707420587539673e-02,1.149898860603570938e-02,2.351177670061588287e-02,4.054181277751922607e-02,1.023884210735559464e-02
1.660000000000000087e-01,3.886945918202400208e-02,6.826134026050567627e-02,8.735851384699344635e-03,2.483592741191387177e-02,4.109225049614906311e-02,7.821996696293354034e-03
1.680000000000000104e-01,4.625660553574562073e-02,7.944997400045394897e-02,-9.984167292714118958e-03,2.483592741191387177e-02,4.109225049614906311e-02,-1.179800368845462799e-02
