time_s,delta_m,normal_force_N,contact_points,vz_m_s
1.775,4.999992233933881e-05,20.000265067558928,4,5.249058787626382e-08
1.7755,4.999986049369909e-05,20.000162743684527,4,1.255790635923404e-07
1.776,4.999988595955074e-05,19.999661208645705,4,-4.8365944138595296e-08
1.7765,4.999996235710569e-05,19.999802890692006,4,-1.4956741267724283e-07
1.777,4.999995508114807e-05,20.000318797394474,4,1.4112133683852335e-08
1.7775,4.9999904149444774e-05,20.000195732223574,4,1.0201582512081586e-07
1.778,4.999993689125404e-05,19.999680401423223,4,-6.207507396993606e-08
1.7785,4.9999904149444774e-05,20.000247532954212,4,6.501530691593871e-08
1.779,4.999994416721165e-05,19.99971053916154,4,-8.360202485846457e-08
1.7795,4.999991870136e-05,20.00026506713054,4,5.2490893409640194e-08
1.78,4.999985685572028e-05,20.000162743421864,4,1.255792625443064e-07
1.7805,4.999988232157193e-05,19.99966120848341,4,-4.8365830451757574e-08
1.781,4.999995871912688e-05,19.99980289059945,4,-1.4956734162296925e-07
1.7815,4.9999951443169266e-05,20.00031879733649,4,1.411217542823806e-08
1.782,4.999990051146597e-05,20.000195732187716,4,1.0201585354252529e-07
1.7825,4.999993325327523e-05,19.999680401400013,4,-6.207505265365398e-08
1.783,4.999990051146597e-05,20.000247532936747,4,6.501532112679342e-08
1.7835,4.9999940529232845e-05,19.99971053914993,4,-8.360201775303722e-08
1.784,4.9999915063381195e-05,20.000265067124776,4,5.249089696235387e-08
1.7845,4.9999853217741475e-05,20.000162743418763,4,1.255792625443064e-07
1.785,4.9999878683593124e-05,19.999661208483456,4,-4.8365830451757574e-08
1.7855,4.999995508114807e-05,19.99980289059945,4,-1.4956734162296925e-07
1.786,4.999994780519046e-05,20.00031879733649,4,1.411217542823806e-08
1.7865,4.999989687348716e-05,20.000195732187716,4,1.0201585354252529e-07
1.787,4.9999929615296423e-05,19.999680401400013,4,-6.207505265365398e-08
1.7875,4.999989687348716e-05,20.000247532936747,4,6.501532112679342e-08
1.788,4.999993689125404e-05,19.99971053914993,4,-8.360201775303722e-08
1.7885,4.999991142540239e-05,20.000265067124776,4,5.249089696235387e-08
