phase,time_from_release_s,x_m,z_m,vx_m_s,vz_m_s,normal_force_N,friction_force_x_N,active_contact_points,phi_min_m,geometric_penetration_m,analytic_vx_m_s,analytic_x_m
free_slide,0.34325,0.10180006921291351,0.019754746928811073,0.0,-8.491228413731733e-07,9.810215352133724,0.0,4,-0.0002452526241540909,0.0002452530711889271,0.0,0.054295070468749984
free_slide,0.3435,0.10180006921291351,0.019754746928811073,0.0,-7.962678978401527e-07,9.810208480993676,0.0,4,-0.0002452526241540909,0.0002452530711889271,0.0,0.054124006874999964
free_slide,0.34375,0.10180006921291351,0.019754746928811073,0.0,-7.451026817761885e-07,9.810201829513286,0.0,4,-0.0002452526241540909,0.0002452530711889271,0.0,0.05395263671874995
free_slide,0.34400000000000003,0.10180006921291351,0.019754746928811073,0.0,-6.955731350899441e-07,9.810195390675126,0.0,4,-0.0002452526241540909,0.0002452530711889271,0.0,0.05378095999999999
free_slide,0.34425,0.10180006921291351,0.019754746928811073,0.0,-6.476270186794864e-07,9.810189157676149,0.0,4,-0.0002452526241540909,0.0002452530711889271,0.0,0.05360897671874998
free_slide,0.34450000000000003,0.10180006921291351,0.019754746928811073,0.0,-6.012136850586103e-07,9.810183123942563,0.0,4,-0.0002452526241540909,0.0002452530711889271,0.0,0.05343668687499997
free_slide,0.34475,0.10180006921291351,0.019754746928811073,0.0,-5.562841352002579e-07,9.810177283100519,0.0,4,-0.0002452526241540909,0.0002452530711889271,0.0,0.05326409046874997
free_slide,0.34500000000000003,0.10180006921291351,0.019754746928811073,0.0,-5.127909048496804e-07,9.810171628983845,0.0,4,-0.0002452526241540909,0.0002452530711889271,0.0,0.05309118749999997
free_slide,0.34525,0.10180006921291351,0.019754746928811073,0.0,-4.706881213678571e-07,9.810166155619381,0.0,4,-0.0002452526241540909,0.0002452530711889271,0.0,0.052917977968749974
free_slide,0.34550000000000003,0.10180006921291351,0.019754745066165924,0.0,-4.2993130477952946e-07,9.810160857234475,0.0,4,-0.0002452526241540909,0.00024525493383407634,0.0,0.05274446187499998
free_slide,0.34575,0.10180006921291351,0.019754745066165924,0.0,-3.7215542647572875e-07,9.810227852174272,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.05257063921874999
free_slide,0.34600000000000003,0.10180006921291351,0.019754745066165924,0.0,-3.1622656138097227e-07,9.810220581423575,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.05239650999999995
free_slide,0.34625,0.10180006921291351,0.019754745066165924,0.0,-2.620856776047731e-07,9.810213543108446,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.052222074218750025
free_slide,0.34650000000000003,0.10180006921291351,0.019754745066165924,0.0,-2.0967561908946664e-07,9.810206729800166,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.05204733187499999
free_slide,0.34675,0.10180006921291351,0.019754745066165924,0.0,-1.5894104876679194e-07,9.810200134305964,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.05187228296874996
free_slide,0.34700000000000003,0.10180006921291351,0.019754745066165924,0.0,-1.0982839881990003e-07,9.810193749661973,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.05169692749999999
free_slide,0.34725,0.10180006921291351,0.019754745066165924,0.0,-6.228582805078986e-08,9.810187569127011,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.051521265468749966
free_slide,0.34750000000000003,0.10180006921291351,0.019754745066165924,0.0,-1.6263134838823134e-08,9.810181586177194,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.051345296875
free_slide,0.34775,0.10180006921291351,0.019754745066165924,0.0,2.8288265951914582e-08,9.810175794494915,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.051169021718749985
free_slide,0.34800000000000003,0.10180006921291351,0.019754745066165924,0.0,7.141541402688745e-08,9.81017018796605,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.05099243999999992
free_slide,0.34825,0.10180006921291351,0.019754745066165924,0.0,1.1316383563553245e-07,9.810164760670906,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.05081555171874996
free_slide,0.34850000000000003,0.10180006921291351,0.019754745066165924,0.0,1.535776021910351e-07,9.810159506880302,0.0,4,-0.0002452544867992401,0.00024525493383407634,0.0,0.05063835687499996
