time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,solver_iterations
1.9395,0.7024000000000001,5.134993254166757e-06,2.3270478066979262e-05,29.429999994523133,0.701924903596091,0.047701318635862584,0.05419314429616987,4,1.0346492717190375e-05,4.672204004857339e-05,19.61999529793337,0.7019776840621297,0.07155737536145801,0.08022716261153397,4,1.0447782105405733e-05,4.695412577892578e-05,9.80999444506786,0.7021360502287664,0.1431470841620664,0.15424581621092917,4,1
1.94,0.7032,5.146641688316774e-06,2.3296868300033774e-05,29.42999999451908,0.7027249035890036,0.04775568492829604,0.05426336066979531,4,1.0369880133640245e-05,4.677483289973473e-05,19.619995287139925,0.7027776840551129,0.07163892485904458,0.08032972146648608,4,1.0471285564197201e-05,4.700691758293767e-05,9.809994432313871,0.7029360502235447,0.14331018331836992,0.1544352384912398,4,1
1.9405000000000001,0.704,5.1583033175833155e-06,2.3323258533083803e-05,29.429999994513203,0.7035249035825949,0.04781005122077859,0.0543335990033667,4,1.0393293946516086e-05,4.682762575168426e-05,19.619995276332148,0.7035776840486948,0.07172047435683429,0.08043230888469476,4,1.0494815418891497e-05,4.70597093885912e-05,9.809994419544891,0.7037360502186938,0.14347328247539243,0.15462469446368055,4,1
1.941,0.7048000000000002,5.1699781419664416e-06,2.334964876625153e-05,29.42999999450275,0.7043249035740503,0.04786441751312345,0.05440385930722896,4,1.0416734155818415e-05,4.688041860465627e-05,19.61999526550779,0.7043776840403859,0.07180202385458177,0.08053492487828624,4,1.0518371669489556e-05,4.711250119611897e-05,9.809994406758165,0.704536050212665,0.1436363816328592,0.15481418413740197,4,1
1.9415,0.7056000000000001,5.181666161466101e-06,2.3376038999318844e-05,29.429999994498502,0.7051249035692669,0.04791878380571386,0.05447414159245502,4,1.0440200761547537e-05,4.693321145824019e-05,19.61999525467656,0.7051776840354017,0.07188357335278334,0.08063756946030692,4,1.0541954315992113e-05,4.716529300511576e-05,9.809994393960345,0.7053360502087039,0.14379948079133534,0.1550037075225458,4,1
1.942,0.7064,5.193367376082323e-06,2.3402429232443473e-05,29.429999994498253,0.7059249035617832,0.04797315009811425,0.05454444586908838,4,1.0463693763703901e-05,4.6986004312729685e-05,19.619995243836556,0.7059776840280322,0.07196512285086396,0.08074024264249137,4,1.056556335840005e-05,4.721808481587128e-05,9.809994381150487,0.7061360502032609,0.14396257995011152,0.1551932646277593,4,1
1.9425000000000001,0.7071999999999999,5.2050817858151115e-06,2.342881946557763e-05,29.429999994483733,0.7067249035551153,0.04802751639059338,0.05461477214807217,4,1.0487213162287919e-05,4.703879716803652e-05,19.61999523297092,0.7067776840213832,0.07204667234920228,0.08084294443775814,4,1.05891987967142e-05,4.7270876628297527e-05,9.809994368317618,0.7069360501982653,0.14412567910974297,0.15538285546317712,4,1
1.943,0.7080000000000002,5.216809390664457e-06,2.3455209698690895e-05,29.429999994477356,0.7075249035489801,0.04808188268309546,0.05468512043994311,4,1.0510758957299969e-05,4.709159002410207e-05,19.61999522210074,0.7075776840152068,0.0721282218476958,0.08094567485843648,4,1.0612860630935368e-05,4.732366844233658e-05,9.809994355473574,0.7077360501935643,0.14428877827002554,0.15557248003804955,4,1
1.9435,0.7088000000000001,5.228550190630338e-06,2.3481599931763567e-05,29.429999994482685,0.7083249035431918,0.04813624897560198,0.05475549075529312,4,1.0534331148740415e-05,4.7144382880888406e-05,19.61999521122883,0.7083776840093371,0.0722097713463173,0.08104843391695794,4,1.0636548861064341e-05,4.737646025795001e-05,9.809994342614802,0.7085360501890551,0.14445187743099117,0.15576213836190553,4,1
1.944,0.7096,5.240304185712804e-06,2.3507990164932008e-05,29.429999994469817,0.7091249035350532,0.04819061526797857,0.05482588310457557,4,1.0557929736609741e-05,4.7197175738651525e-05,19.61999520032785,0.7091776840013901,0.07229132084492455,0.08115122162562134,4,1.0660263487102035e-05,4.742925207539198e-05,9.809994329744745,0.7093360501832532,0.1446149765922872,0.15595183044382604,4,1
