time_s,delta_m,normal_force_N,contact_points,vz_m_s
1.585,5.000142664357554e-06,20.000829281672015,4,2.842586468432273e-07
1.5855,5.00020723848138e-06,19.99917233763766,4,-1.295725411409876e-07
1.586,5.000298187951557e-06,19.99990785791386,4,-1.821097015408668e-07
1.5865,5.000159490009537e-06,20.000919804816636,4,2.777927079478104e-07
1.587,5.000224518880714e-06,19.999183653030734,4,-1.303807835029147e-07
1.5875,5.000315468350891e-06,19.999909117635355,4,-1.8219967046206875e-07
1.588,5.000176770408871e-06,20.000919962262248,4,2.7778145295087597e-07
1.5885,5.000241799280047e-06,19.99918367272698,4,-1.3038219037753151e-07
1.589,5.000332748750225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5895,5.000194050808204e-06,20.000919962535807,4,2.7778145295087597e-07
1.59,5.000259079679381e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5905,5.000350029149558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.591,5.000211331207538e-06,20.000919962535807,4,2.7778145295087597e-07
1.5915,5.000276360078715e-06,19.99918367272698,4,-1.3038219037753151e-07
1.592,5.000134024157887e-06,20.000829281672015,4,2.842586468432273e-07
1.5925,5.000198598281713e-06,19.99917233763766,4,-1.295725411409876e-07
1.593,5.0002895477518905e-06,19.99990785791386,4,-1.821097015408668e-07
1.5935,5.00015084980987e-06,20.000919804816636,4,2.777927079478104e-07
1.594,5.000215878681047e-06,19.999183653030734,4,-1.303807835029147e-07
1.5945,5.000306828151224e-06,19.999909117635355,4,-1.8219967046206875e-07
1.595,5.000168130209204e-06,20.000919962262248,4,2.7778145295087597e-07
1.5955,5.0002331590803806e-06,19.99918367272698,4,-1.3038219037753151e-07
1.596,5.000324108550558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5965,5.0001854106085375e-06,20.000919962535807,4,2.7778145295087597e-07
1.597,5.000250439479714e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5975,5.0003413889498916e-06,19.9999091198281,4,-1.8219982678147062e-07
1.598,5.000202691007871e-06,20.000919962535807,4,2.7778145295087597e-07
1.5985,5.000267719879048e-06,19.99918367272698,4,-1.3038219037753151e-07
1.599,5.000358669349225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5995,5.000219971407205e-06,20.000919962535807,4,2.7778145295087597e-07
1.6,5.000285000278382e-06,19.99918367272698,4,-1.3038219037753151e-07
1.6005,5.000142664357554e-06,20.000829281672015,4,2.842586468432273e-07
1.601,5.00020723848138e-06,19.99917233763766,4,-1.295725411409876e-07
1.6015,5.000298187951557e-06,19.99990785791386,4,-1.821097015408668e-07
1.6019999999999999,5.000159490009537e-06,20.000919804816636,4,2.777927079478104e-07
1.6025,5.000224518880714e-06,19.999183653030734,4,-1.303807835029147e-07
1.603,5.000315468350891e-06,19.999909117635355,4,-1.8219967046206875e-07
1.6035,5.000176770408871e-06,20.000919962262248,4,2.7778145295087597e-07
1.6039999999999999,5.000241799280047e-06,19.99918367272698,4,-1.3038219037753151e-07
1.6045,5.000332748750225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.605,5.000194050808204e-06,20.000919962535807,4,2.7778145295087597e-07
1.6055,5.000259079679381e-06,19.99918367272698,4,-1.3038219037753151e-07
1.6059999999999999,5.000350029149558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.6065,5.000211331207538e-06,20.000919962535807,4,2.7778145295087597e-07
1.607,5.000276360078715e-06,19.99918367272698,4,-1.3038219037753151e-07
1.6075,5.000134024157887e-06,20.000829281672015,4,2.842586468432273e-07
1.6079999999999999,5.000198598281713e-06,19.99917233763766,4,-1.295725411409876e-07
1.6085,5.0002895477518905e-06,19.99990785791386,4,-1.821097015408668e-07
1.609,5.00015084980987e-06,20.000919804816636,4,2.777927079478104e-07
1.6095,5.000215878681047e-06,19.999183653030734,4,-1.303807835029147e-07
1.6099999999999999,5.000306828151224e-06,19.999909117635355,4,-1.8219967046206875e-07
1.6105,5.000168130209204e-06,20.000919962262248,4,2.7778145295087597e-07
1.611,5.0002331590803806e-06,19.99918367272698,4,-1.3038219037753151e-07
1.6115,5.000324108550558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.6119999999999999,5.0001854106085375e-06,20.000919962535807,4,2.7778145295087597e-07
1.6125,5.000250439479714e-06,19.99918367272698,4,-1.3038219037753151e-07
1.613,5.0003413889498916e-06,19.9999091198281,4,-1.8219982678147062e-07
1.6135,5.000202691007871e-06,20.000919962535807,4,2.7778145295087597e-07
1.6139999999999999,5.000267719879048e-06,19.99918367272698,4,-1.3038219037753151e-07
1.6145,5.000358669349225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.615,5.000219971407205e-06,20.000919962535807,4,2.7778145295087597e-07
1.6155,5.000285000278382e-06,19.99918367272698,4,-1.3038219037753151e-07
1.6159999999999999,5.000142664357554e-06,20.000829281672015,4,2.842586468432273e-07
1.6165,5.00020723848138e-06,19.99917233763766,4,-1.295725411409876e-07
1.617,5.000298187951557e-06,19.99990785791386,4,-1.821097015408668e-07
1.6175,5.000159490009537e-06,20.000919804816636,4,2.777927079478104e-07
