time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_gap_m,ground_bottom_phi_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_gap_m,bottom_middle_phi_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_gap_m,middle_top_phi_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations,line_search_iterations,truncated_contacts
0.185,0.0,0.0,-6.203308089425263e-08,30.93377969864858,2.265621027906547e-05,1.46482004461002e-06,1.4664853328213092e-06,4,-0.000779858306050301,-0.0007809475064277649,0.0,-1.1296266677618405e-07,20.825846516786438,3.270521140613002e-05,3.140829005895953e-06,3.5060085849070285e-06,4,-0.00042587421834468925,-0.0005267485976219177,0.0,-3.635429521864353e-07,10.479209800602568,2.061208200492351e-05,3.933900054895034e-06,4.476031245098766e-06,4,-0.00016488224267959678,-0.00026535987854003906,0.002171225380152464,0.003913181368261576,0.00487879104912281,-1,-1,0
0.19,0.0,0.0,-1.0008611184275651e-07,30.230902100424537,3.6428461347645746e-05,2.410014840221005e-06,2.4127553716495345e-06,4,-0.0007656388729810719,-0.000767286866903305,0.0,-2.4732187853260257e-07,20.262361922542077,6.85571556786284e-05,6.7669461181973944e-06,7.12957487658528e-06,4,-0.00041446737945079887,-0.0005157887935638428,0.0,-1.399837969984219e-07,10.166327305519987,1.6297529957764098e-05,3.206178488649498e-06,2.7705206618475296e-06,4,-0.00015855297446251,-0.00025929510593414307,0.003288739826530218,0.005925277713686228,0.00738977687433362,-1,-1,0
0.195,0.0,0.0,-5.081717446842049e-08,29.47366531186662,9.491046062433739e-05,6.44035681480883e-06,6.440369257917813e-06,4,-0.0007478450238704686,-0.0007496792823076248,0.0,-2.2626669604619565e-07,19.655045914732174,4.336631955177831e-06,4.4127416175887613e-07,6.696856757795667e-07,4,-0.0004001976549625405,-0.000501677393913269,0.0,-2.676546841939853e-07,9.829143436229304,4.98904317270003e-05,1.0151531931685692e-05,1.0500996539864022e-05,4,-0.0001506292819976815,-0.00025144219398498535,0.003667367622256279,0.006608452182263136,0.008240911178290844,-1,-1,0
0.2,0.0,0.0,1.5254219221105814e-08,28.805840695090396,1.548249562597572e-05,1.0749553043674594e-06,1.0749581294336626e-06,4,-0.0007301517575979237,-0.0007318202406167984,0.0,-2.972303470016868e-07,19.119399420674196,7.585418951005512e-05,7.93478789171928e-06,7.790793222429865e-06,4,-0.00038600616157054984,-0.0004873499274253845,0.0,-2.940771253179264e-07,9.532251644387147,1.5722545612527072e-05,3.2988104383049814e-06,3.5759116244911933e-06,4,-0.00014275029301643455,-0.00024349987506866455,0.003334960201755166,0.0060090613551437855,0.007491878233850002,-1,-1,0
0.20500000000000002,0.0,0.0,-7.683254210633095e-08,28.3366383412057,2.89554145223481e-05,2.0436732243035765e-06,2.043676807778965e-06,4,-0.000715742334723473,-0.0007169637829065323,0.0,-1.9375350035488736e-07,18.743365083199343,5.757689102202598e-05,6.143709068937162e-06,6.055121313464773e-06,4,-0.0003744577616453179,-0.0004754364490509033,0.0,-2.978156885546923e-07,9.323782614051918,2.705271582138567e-07,5.8029486403113666e-08,1.5366593335232049e-07,4,-0.00013635024428367698,-0.00023689866065979004,0.0024417033419013023,0.004399509634822607,0.005485329777002335,-1,-1,0
0.21,0.0,0.0,-1.617267173514847e-07,28.12580447695205,5.7051712902801116e-05,4.056894653417126e-06,4.0569012768960686e-06,4,-0.0007068090885877613,-0.0007074195891618729,0.0,-7.319181349885184e-08,18.574252017855706,1.9049384244639223e-05,2.051160307971138e-06,2.0861928261061036e-06,4,-0.00036729402840137565,-0.00046778470277786255,0.0,-3.137376722861518e-07,9.229677448521064,8.77791240964283e-06,1.9021059963583834e-06,1.931674901158997e-06,4,-0.00013238281011581504,-0.00023265182971954346,0.0012212791480123997,0.002200822811573744,0.002746506594121456,-1,-1,0
0.215,0.0,0.0,-6.009489084135566e-08,28.177911978577153,5.189513053527715e-06,3.683390776061158e-07,3.683392996155512e-07,4,-0.0007042609900236134,-0.0007042288780212402,0.0,-2.3233172896652832e-07,18.615993436406384,1.3376036248773475e-05,1.4370478045629967e-06,1.473103274910634e-06,4,-0.00036524884402752006,-0.0004652291536331177,0.0,-2.405134580385493e-07,9.252582431548642,8.555432696556498e-06,1.849306992907177e-06,1.8642204085160315e-06,4,-0.0001312316954135903,-0.00023122131824493408,-6.254898471524939e-05,-0.00011131534847663715,-0.00013795607083011419,-1,-1,0
0.22,0.0,0.0,-5.6436434192619345e-08,28.449574809598573,3.7353974674878716e-05,2.6259777114332053e-06,2.6263882688996665e-06,4,-0.0007077329605817799,-0.0007071495056152344,0.0,-2.1667860039542575e-07,18.833703515245062,3.9878725181836584e-05,4.2348256305040055e-06,4.144764020035441e-06,4,-0.00036802791059017265,-0.00046756118535995483,0.0,-2.364198792292882e-07,9.373581473715626,1.253352927099999e-05,2.674224213262592e-06,2.8397976277901266e-06,4,-0.00013278141617775047,-0.00023253262042999268,-0.0011690648971125484,-0.0021066085901111364,-0.002626063534989953,-1,-1,0
0.225,0.0,0.0,9.091355224200015e-09,28.863497485454197,3.850111542829858e-05,2.667806661178277e-06,2.667813296896571e-06,4,-0.0007158224284648899,-0.0007148627191781998,0.0,-2.314355391774825e-07,19.165453180560174,6.34830787485611e-05,6.624740688412523e-06,6.786384512902611e-06,4,-0.0003745117783546456,-0.00047374144196510315,0.0,-2.8457502310175187e-07,9.557490275360632,2.6832191952444987e-05,5.614903322814531e-06,5.901465913541309e-06,4,-0.00013637259602546775,-0.0002359449863433838,-0.0019218801753595471,-0.003464074805378914,-0.004319541621953249,-1,-1,0
0.23,0.0,0.0,-2.920818475971032e-09,29.326481393082094,3.995108122068812e-06,2.724573786073926e-07,2.7253356948976546e-07,4,-0.0007264711707830433,-0.000725356861948967,0.0,-2.2289664047825397e-07,19.536938338769556,2.8900777436505026e-05,2.95857794454453e-06,3.193826940478854e-06,4,-0.000383055731654168,-0.0004821568727493286,0.0,-2.3698116535797453e-07,9.763970168557103,1.152142616066032e-05,2.359987988853704e-06,2.6721124922298824e-06,4,-0.00014111861586570823,-0.00024062395095825195,-0.002230581594631076,-0.004021034575998783,-0.005013978574424982,-1,-1,0
0.23500000000000001,0.0,0.0,-1.6896434829050122e-07,29.748780101991166,8.350433124835259e-05,5.613966755078029e-06,5.617534058297471e-06,4,-0.000737429112195969,-0.000736381858587265,0.0,1.3759901662524499e-08,19.87579734545584,4.6953422687340386e-05,4.724683178365697e-06,5.01626263648232e-06,4,-0.0003918455541133889,-0.0004910081624984741,0.0,-2.392799274275603e-07,9.951750681467033,2.4372193468241752e-05,4.898071555114349e-06,4.521047784910056e-06,4,-0.00014599502086639488,-0.00024553388357162476,-0.002097001764923334,-0.0037789365742355585,-0.004712460562586784,-1,-1,0
0.24,0.0,0.0,-1.1033112912173237e-07,30.059104197859895,2.3872901333567086e-05,1.5883973904496298e-06,1.5914700731610306e-06,4,-0.0007466752827167515,-0.0007458776235580444,0.0,-9.532401179512817e-08,20.124629355314113,2.5905870788789407e-05,2.574543891606997e-06,2.8820380947009626e-06,4,-0.0003992588818073281,-0.0004986226558685303,0.0,-1.1200927474419586e-07,10.090038398471808,2.3000526117997963e-05,4.559056211615908e-06,4.996123114729935e-06,4,-0.00015011519193649375,-0.00024975836277008057,-0.0016010589897632599,-0.00288532767444849,-0.003597498405724764,-1,-1,0
0.245,0.0,0.0,-5.8304401306941145e-08,30.21583956239489,5.9889738835639115e-05,3.964128728706573e-06,3.9665693940820775e-06,4,-0.0007527568191289906,-0.0007523205131292343,0.0,-1.3924252328934017e-07,20.250416182276936,3.6210087600561374e-05,3.5762314487395338e-06,3.969476754723283e-06,4,-0.0004041446000337609,-0.0005037933588027954,0.0,-5.863670082817407e-08,10.159475781581996,8.736167278716934e-07,1.7198067039156954e-07,2.920520834843296e-07,4,-0.0001528197526931771,-0.0002526193857192993,-0.0008797717746347189,-0.0015846419846639037,-0.001975358696654439,-1,-1,0
0.25,0.0,0.0,2.1614312117890222e-08,30.210393068902057,3.6115642145340966e-05,2.3909415586199473e-06,2.3915106900364075e-06,4,-0.0007549845427274708,-0.0007549412548542023,0.0,-1.1183497150568655e-07,20.245877248797623,3.2399540242208587e-05,3.2006062117296254e-06,3.587341579446364e-06,4,-0.00040592901408672416,-0.0005058944225311279,0.0,-1.565104739142953e-07,10.156931056197797,6.144881263160112e-06,1.209987786499837e-06,1.72511246442994e-06,4,-0.0001538069546222695,-0.00025378167629241943,-9.208490519085899e-05,-0.00016423023771494627,-0.00020468741422519088,-1,-1,0
