time_s,ground_bottom_contacts,ground_bottom_Fn_N,ground_bottom_gap_m,ground_bottom_phi_min_m,bottom_middle_contacts,bottom_middle_Fn_N,bottom_middle_gap_m,bottom_middle_phi_min_m,middle_top_contacts,middle_top_Fn_N,middle_top_gap_m,middle_top_phi_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations,line_search_iterations,truncated_contacts
2.8405,4,29.43000635390504,-0.0007357490062713627,-0.000735752284526825,4,19.619973385774436,-0.0003904932737350472,-0.0004905015230178833,4,9.809934663583586,-0.00014525741338729942,-0.0002452656626701355,-4.5703174578193284e-07,-1.960519512067549e-06,3.2029620911089296e-07,-1,-1,0
2.841,4,29.430004185150324,-0.0007357490062713627,-0.000735752284526825,4,19.61997329188835,-0.0003904932737350472,-0.0004904940724372864,4,9.809941147206455,-0.00014525741338729942,-0.0002452656626701355,-4.415406351654383e-07,-1.944357791217044e-06,2.901462892168638e-07,-1,-1,0
2.8415,4,29.43000257310127,-0.0007357490062713627,-0.000735752284526825,4,19.61997721959833,-0.0003904932737350472,-0.0004904940724372864,4,9.810012554552234,-0.00014525741338729942,-0.0002452582120895386,-4.3002600591535156e-07,-1.960898089237162e-06,2.957377205348166e-07,-1,-1,0
2.842,4,29.430001256856237,-0.0007357490062713627,-0.000735752284526825,4,19.61998047534259,-0.0003904932737350472,-0.0004904940724372864,4,9.810009997682352,-0.00014525741338729942,-0.0002452582120895386,-4.2062424654432107e-07,-1.9747517399082426e-06,3.001475477049098e-07,-1,-1,0
2.8425000000000002,4,29.430000184690073,-0.0007357490062713627,-0.000735752284526825,4,19.61998317577863,-0.0003904932737350472,-0.0004904940724372864,4,9.81000788849472,-0.00014525741338729942,-0.0002452582120895386,-4.12965903251461e-07,-1.9863821307808394e-06,3.0358268077179673e-07,-1,-1,0
2.843,4,29.42999931387731,-0.0007357490062713627,-0.000735752284526825,4,19.61998541725122,-0.0003904932737350472,-0.0004904940724372864,4,9.81000614942428,-0.00014525741338729942,-0.0002452582120895386,-4.0674581214261707e-07,-1.9961726138717495e-06,3.06214190004539e-07,-1,-1,0
2.8435,4,29.429998609131875,-0.0007357490062713627,-0.000735752284526825,4,19.619987279409756,-0.0003904932737350472,-0.0004904940724372864,4,9.810004716309798,-0.00014525741338729942,-0.0002452582120895386,-4.017119294985605e-07,-2.0044399207108654e-06,3.081834734075528e-07,-1,-1,0
2.844,4,29.429997993991464,-0.0007357490062713627,-0.000735752284526825,4,19.61998895710723,-0.0003904932737350472,-0.0004905015230178833,4,9.810003437777961,-0.00014525741338729942,-0.0002452582120895386,-3.973180753291672e-07,-2.0120296539971605e-06,3.0972611853030685e-07,-1,-1,0
2.8445,4,29.429997548427774,-0.0007357490062713627,-0.000735752284526825,4,19.619990225005083,-0.0003904932737350472,-0.0004904940724372864,4,9.810002484133639,-0.00014525741338729942,-0.0002452582120895386,-3.941354691505694e-07,-2.0179033981548855e-06,3.106640633632196e-07,-1,-1,0
2.845,4,29.429997164660875,-0.0007357490062713627,-0.000735752284526825,4,19.619991370525053,-0.0003904932737350472,-0.0004905015230178833,4,9.810001635041228,-0.00014525741338729942,-0.0002452582120895386,-3.9139428054113523e-07,-2.023344450208242e-06,3.1128789146350755e-07,-1,-1,0
2.8455,4,29.42999689187516,-0.0007357490062713627,-0.000735752284526825,4,19.619992239406958,-0.0003904932737350472,-0.0004905015230178833,4,9.810001003396518,-0.00014525741338729942,-0.0002452582120895386,-3.8944580182942445e-07,-2.0276024770282675e-06,3.115418110155588e-07,-1,-1,0
